"gene","module","module_membership","gene_significance","gene_significance_p","gene_significance_FDR"
"NDFIP1","brown",0.435933566336321,0.0651964436448559,0.064976263461597,0.0811006287982959
"HERPUD1","yellow",0.516956951241565,-0.327654340897079,1.59038309647666e-21,9.13162138844374e-21
"PSMD3","blue",0.414480495756728,-0.165095706284938,2.59596425570923e-06,5.55561432502023e-06
"SLC25A39","turquoise",0.790293108624347,-0.0138817974001579,0.694664612789334,0.724151236320712
"MLEC","blue",0.715306087982215,-0.313350692172539,9.90073213373163e-20,5.16002862969778e-19
"HADHA","green",0.498574387535471,-0.140325732301515,6.67684739287783e-05,0.000124038593985753
"COTL1","black",0.661677159337199,-0.0278398943481215,0.431084206960112,0.469969512140707
"BAT1","green",0.503394696903502,-0.13435773801045,0.000135445921497999,0.000242849645674651
"CCT6A","yellow",0.806803580743977,-0.419553837360337,1.55059243193033e-35,1.86232780302123e-34
"PRPF8","blue",0.725542568837925,-0.460201128715706,2.774468816851e-43,5.43475031164793e-42
"IFNGR2","black",0.639267882383833,0.268984171875061,9.26917578131489e-15,3.6425235977204e-14
"LRP1","turquoise",0.663559773272761,0.0581385186147812,0.0999113293705875,0.121428584118437
"GPS1","blue",0.381274503400369,-0.147786717231095,2.64769718862106e-05,5.14009374996416e-05
"IDH2","blue",0.688714807571488,-0.264850033888907,2.4341452047939e-14,9.30826177583539e-14
"RPLP1","blue",0.707054898953615,-0.274560408978236,2.45406786942971e-15,9.93530886470698e-15
"RPS14","blue",0.46907379659586,-0.134032200716319,0.000140657773574253,0.000251763206841996
"RPS8","blue",0.762672528622068,-0.322423845757877,7.3926089858596e-21,4.1055000144229e-20
"TMED10","yellow",0.787520714155283,-0.149233314538086,2.20138515545222e-05,4.31070285965635e-05
"CBX1","brown",0.635593224764058,-0.217340653841565,4.97472719156155e-10,1.43967105006045e-09
"TMEM109","blue",0.764949877025455,-0.560614483808175,1.43538859817471e-67,1.85761863750295e-65
"DAG1","turquoise",0.35713793668558,-0.187723462633344,8.5251743745075e-08,2.07464522386599e-07
"IMMT","blue",0.813725276146723,-0.447115315751462,1.12922024425357e-40,1.89873850705293e-39
"CYB5R3","turquoise",0.561794819364151,0.22521316928018,1.11075076264408e-10,3.35087147305774e-10
"QSOX1","red",0.749981469183086,0.485223104071173,1.33928839977791e-48,3.69926229943453e-47
"FLJ23867","red",0.543317389363419,0.261321798377437,5.47594634649716e-14,2.0418242155699e-13
"TMEM59","brown",0.560255614164495,0.277828778550902,1.11011975826583e-15,4.58950444210546e-15
"YWHAQ","yellow",0.828228241914506,-0.323229156807712,5.84662991348089e-21,3.2579333983296e-20
"LOC649034","grey",-0.00786767856932118,0.0617794407869351,0.0803755984244701,0.0991608978848594
"H1FX","blue",0.679657490616079,-0.243707604425295,2.62065475641991e-12,8.83627092635963e-12
"COPZ1","grey",0.482442821299003,-0.0614721307330522,0.0818947141766475,0.10084063693464
"CD9","grey",0.494131508727351,-0.00153071114122167,0.965477100885391,0.970299991324375
"KDELR2","yellow",0.617002220253026,-0.144850008963679,3.83120397002152e-05,7.29988541384746e-05
"PPM1G","blue",0.711956577101655,-0.324368297507008,4.19034574400852e-21,2.35206638788938e-20
"RAC1","green",0.639006849708064,-0.101659908468069,0.00395225702173022,0.0058654936704405
"VKORC1","blue",0.321129393671133,-0.0582011765985489,0.0995457456771056,0.121022577444469
"TBCB","red",0.649707415441309,0.0398921295800573,0.259144079678742,0.293835198134323
"SF3B2","green",0.740182031167396,-0.335171622847976,1.6575641886489e-22,1.00642194648698e-21
"HLA-DPA1","blue",0.753686504031483,-0.467383046805327,9.16354077247721e-45,1.97281612368958e-43
"CAV1","grey",0.354561027084958,0.112300524409821,0.00144540331187463,0.00227713792178525
"MAPRE1","red",0.755725659812907,0.117031793300366,0.000898429783742427,0.00145481713048577
"MYL9","turquoise",0.424111696685825,0.247956630071444,1.05908080578304e-12,3.6698233216032e-12
"DYNC1H1","blue",0.712303780362719,-0.431813830492057,9.19424150010481e-38,1.28052325995414e-36
"YWHAH","grey",0.67690226467585,0.154472390134297,1.11194456260913e-05,2.24336617133158e-05
"RBM38","turquoise",0.783215952514048,0.154870147266495,1.05478057322529e-05,2.13406750276094e-05
"PSMB7","red",0.466261561312719,0.0567805625133633,0.108100118273848,0.130734789409469
"TFG","brown",0.643428352194048,-0.0943117941458722,0.00752510978953549,0.0107376380767926
"ANAPC5","blue",0.800192082296333,-0.385805103900686,7.31462173254299e-30,6.62862416329112e-29
"PPP1R11","black",0.589384776195599,-0.0704432166878219,0.0461203279155386,0.058977899070853
"SPARC","turquoise",0.313813178948674,0.154717684582104,1.07635269469752e-05,2.1751489646956e-05
"SF3B5","blue",0.493207799031213,-0.0531378906890728,0.132694884527057,0.15821568843115
"PPIB","blue",0.610371853322136,-0.211253194588218,1.52605037077262e-09,4.26213583185233e-09
"ATP6V1H","red",0.622051004688683,-0.0246588417473278,0.48558660985114,0.524818107559861
"ARPC1A","red",0.739484064351719,0.164916592016805,2.66250323182291e-06,5.69061277122589e-06
"PLOD1","black",0.582439779228115,0.18406571945628,1.52551194713698e-07,3.63109043337956e-07
"TMX2","blue",0.790447811213045,-0.426698773372462,8.01312453821459e-37,1.0346991976587e-35
"BTG2","grey",-0.441524487276389,-0.147684185228016,2.68239348873783e-05,5.20131451233709e-05
"NDUFAB1","yellow",0.712758627035852,-0.208062033629812,2.71011205512475e-09,7.41979335653123e-09
"RNF130","green",0.731443776769055,-0.0919517443659026,0.00917410424183156,0.0129430833730299
"SDF4","grey",-0.184540409500521,-0.178342972458939,3.70478848822878e-07,8.54118370845057e-07
"CRYAB","turquoise",0.815130540781853,0.0956537011511781,0.00671073291847149,0.00966057014810081
"UFC1","blue",0.597664859819746,-0.257006118444586,1.45218266038738e-13,5.28809354484408e-13
"RNF114","yellow",0.564938288897837,-0.202050170151779,7.80130076823206e-09,2.07518203807152e-08
"SH3BGRL","brown",0.4611321036928,-0.0477873154064911,0.176381866085836,0.206187590944551
"RPL11","blue",0.5431709941303,-0.120402842342502,0.000633431566933498,0.0010458521771703
"ALDH2","green",0.452508155890636,-0.0468389694991761,0.18513151485978,0.215780690968928
"LAPTM4A","brown",0.769984966859953,0.0740176413675351,0.0361038168105877,0.0467976324582882
"MAF1","turquoise",0.855974682663652,0.133094988903843,0.000156734992753138,0.000279065334136751
"TMEM14C","yellow",0.541822971975338,-0.162381304771273,3.7985407686886e-06,7.99553957853715e-06
"SERPINE1","turquoise",0.6326967263181,0.165982759100047,2.28924282868248e-06,4.91564110752513e-06
"UGP2","brown",0.759111445181721,0.117650660270328,0.000843159599123653,0.00137052106445191
"LPCAT1","green",0.583904529921288,-0.160809683902539,4.72183956253022e-06,9.85792062374897e-06
"TTC3","blue",0.916111270356647,-0.555608546255697,3.72129055837796e-66,4.41874480942241e-64
"ATP6AP2","brown",0.775524161599178,-0.171127081701529,1.08977170044651e-06,2.41430860660567e-06
"C22orf28","blue",0.726649367003477,-0.308381512246528,3.94965907505987e-19,1.99702252969884e-18
"ADIPOR1","turquoise",0.800309009126691,0.120446246065937,0.000630550805361762,0.00104169308321239
"TXNRD1","brown",0.638358229800201,0.058363283720487,0.0986048585128208,0.119945685819034
"FSTL1","grey",0.435133132193148,0.205605891817928,4.19053438793351e-09,1.13381665680569e-08
"C20orf43","black",0.725838982345945,0.231842461220951,3.00741222318634e-11,9.43081241128784e-11
"VDAC1","blue",0.762527790669524,-0.364391638037527,1.36988389281125e-26,1.02857383816166e-25
"COX5A","blue",0.66978041332188,-0.176409866161529,4.96797531605486e-07,1.13443972423315e-06
"GLB1","green",0.664846870589482,-0.21027879909685,1.82031395744631e-09,5.04363150393711e-09
"SLC39A1","black",0.490318625821548,0.309388921128417,2.98993896560401e-19,1.52111824230684e-18
"RPN2","blue",0.662784004797033,-0.260872182796996,6.06669660458986e-14,2.25625481083842e-13
"TMEM189","turquoise",0.59769955681707,-0.0763771745553868,0.030559831990439,0.0400715101167892
"STARD7","yellow",0.834807678416786,-0.378371228481179,1.06679523796656e-28,9.11524299028104e-28
"PSMB8","grey",-0.427699680779482,-0.153062293704655,1.33931649938645e-05,2.68049477670429e-05
"TPM3","red",0.744957399782954,0.13242577432186,0.000169254559964832,0.000299965228754413
"PSMA5","blue",0.62578300941628,-0.293622932516409,2.06360526576253e-17,9.46202446299876e-17
"DCTN1","black",0.328071141464399,0.057657807571881,0.102751750830218,0.124709659226813
"IFITM1","black",0.592494981963574,0.244423391759992,2.25239010308231e-12,7.62133642987722e-12
"C19orf56","turquoise",0.28594991532892,-0.0776036559463914,0.0279782033674899,0.0368331176576464
"JUNB","black",0.510331971407823,0.231872153579804,2.98959190977159e-11,9.38003803234790e-11
