group,pc1_center_nm,pc2_center_nm,frame_count,probability,free_energy_kj_mol
complex_all_replicates,-2.6985774999999994,-0.9570360999999996,3,0.0012484394506866,6.39785266490312
complex_all_replicates,-2.6985774999999994,-0.7833802999999997,0,0.0,
complex_all_replicates,-2.6985774999999994,-0.6097244999999998,1,0.0004161464835622,9.138163906645048
complex_all_replicates,-2.6985774999999994,-0.4360686999999996,0,0.0,
complex_all_replicates,-2.6985774999999994,-0.2624128999999997,0,0.0,
complex_all_replicates,-2.6985774999999994,-0.0887570999999995,0,0.0,
complex_all_replicates,-2.6985774999999994,0.0848987000000005,1,0.0004161464835622,9.138163906645048
complex_all_replicates,-2.6985774999999994,0.2585545000000002,0,0.0,
complex_all_replicates,-2.6985774999999994,0.4322103000000004,0,0.0,
complex_all_replicates,-2.6985774999999994,0.6058661000000005,0,0.0,
complex_all_replicates,-2.6985774999999994,0.7795219000000007,0,0.0,
complex_all_replicates,-2.6985774999999994,0.9531777000000008,0,0.0,
complex_all_replicates,-2.6985774999999994,1.1268335000000005,0,0.0,
complex_all_replicates,-2.6985774999999994,1.3004893000000006,0,0.0,
complex_all_replicates,-2.6985774999999994,1.4741451000000008,0,0.0,
complex_all_replicates,-2.6985774999999994,1.647800900000001,0,0.0,
complex_all_replicates,-2.6985774999999994,1.821456700000001,0,0.0,
complex_all_replicates,-2.6985774999999994,1.9951125000000007,0,0.0,
complex_all_replicates,-2.6985774999999994,2.168768300000001,0,0.0,
complex_all_replicates,-2.6985774999999994,2.342424100000001,0,0.0,
complex_all_replicates,-2.6985774999999994,2.5160799000000007,0,0.0,
complex_all_replicates,-2.6985774999999994,2.689735700000001,0,0.0,
complex_all_replicates,-2.6985774999999994,2.863391500000001,0,0.0,
complex_all_replicates,-2.6985774999999994,3.0370473000000007,0,0.0,
complex_all_replicates,-2.6985774999999994,3.210703100000001,0,0.0,
complex_all_replicates,-2.6985774999999994,3.384358900000001,0,0.0,
complex_all_replicates,-2.6985774999999994,3.5580147000000006,0,0.0,
complex_all_replicates,-2.6985774999999994,3.731670500000001,0,0.0,
complex_all_replicates,-2.6985774999999994,3.905326300000002,0,0.0,
complex_all_replicates,-2.6985774999999994,4.078982100000001,0,0.0,
complex_all_replicates,-2.4946325,-4.430152100000001,0,0.0,
complex_all_replicates,-2.4946325,-4.2564963,0,0.0,
complex_all_replicates,-2.4946325,-4.0828405,0,0.0,
complex_all_replicates,-2.4946325,-3.9091847,3,0.0012484394506866,6.39785266490312
complex_all_replicates,-2.4946325,-3.7355289,2,0.0008322929671244,7.409220010183719
complex_all_replicates,-2.4946325,-3.5618731,2,0.0008322929671244,7.409220010183719
complex_all_replicates,-2.4946325,-3.3882173,2,0.0008322929671244,7.409220010183719
complex_all_replicates,-2.4946325,-3.2145615000000003,4,0.0016645859342488,5.680276113722391
complex_all_replicates,-2.4946325,-3.0409057,3,0.0012484394506866,6.39785266490312
complex_all_replicates,-2.4946325,-2.8672499,2,0.0008322929671244,7.409220010183719
complex_all_replicates,-2.4946325,-2.6935941,14,0.0058260507698709,2.555460852491556
complex_all_replicates,-2.4946325,-2.5199383,10,0.0041614648356221,3.3947366025061334
complex_all_replicates,-2.4946325,-2.3462825,3,0.0012484394506866,6.39785266490312
complex_all_replicates,-2.4946325,-2.1726267,6,0.0024968789013732,4.668908768441791
complex_all_replicates,-2.4946325,-1.9989709,4,0.0016645859342488,5.680276113722391
