"gene","logFC","logCPM","F","PValue","FDR"
"MGMT",-6.14193938815047,5.43038773159615,12.6573309112119,0.00488834710778676,0.187919776834825
"TFDP1",2.23383396474664,6.38262103421827,12.5548860958688,0.00502249396315985,0.190710722117469
"NOSIP",-2.27568646151247,6.75906803032515,12.5273223025545,0.00503222488295603,0.190710722117469
"RIN3",1.72777256977346,6.88552697789496,12.4981568587357,0.00507399374113552,0.190710722117469
"NAIP",2.40299196909041,5.92834742531811,12.4970044430912,0.00507525537162289,0.190710722117469
"MTRNR2L8",2.40299196909041,5.92834742531811,12.4970044430912,0.00507525537162289,0.190710722117469
"RIPOR2",1.73872756955747,7.01746283408933,12.4445473007696,0.00513848125548923,0.191891367337396
"RNF10",2.14270373292365,6.68403391864596,12.4418694671153,0.00515268116561697,0.191891367337396
"POU2F2",-6.54598460449926,5.74724366890211,12.3826451392321,0.00521638946969375,0.193094520767249
"FAM126B",1.90281280317374,6.47195424232722,12.3808051473565,0.00523128286902401,0.193094520767249
"CD52",-1.93214147060737,8.4612338929789,12.3050655766351,0.00530949921899234,0.194439456652387
"TLR2",1.83172442478623,7.01921824632186,12.2842928107007,0.00534300405073482,0.194439456652387
"CRTAP",-3.89230802604173,6.17477900873232,12.2711996837778,0.00535618360698872,0.194439456652387
"BNIP3",2.54522377620268,5.64201193010012,12.2145220257055,0.00536095361184957,0.194439456652387
"IDI1",1.57487721760026,7.4658106906172,12.2426626830297,0.00539306370710297,0.194757304955208
"AC020656.1",-2.08092316310233,7.50555238915524,12.2014845561486,0.00544581218016077,0.19581450520216
"GADD45B",1.33879373446871,8.63600801824754,12.1135615313129,0.00556446530793373,0.199222187119241
"CCL2",-6.27882131615107,5.5361668086223,12.0428036219878,0.00567242974894681,0.20153253067908
"FERMT3",1.81595671260646,6.58557464323308,12.0295706729208,0.00569578475156018,0.20153253067908
"JPT1",2.08284078076359,6.59155047443396,12.0285096878939,0.00570147173822379,0.20153253067908
"ODF3B",-3.26563603794868,6.44468104536601,11.9745775267329,0.00576008437723468,0.202745248417265
"CHMP1A",3.15793189644969,5.79753196807555,11.8146801553534,0.00582662882510551,0.20422578848332
"GNA15",2.63676653398499,5.69158454097774,11.799977353606,0.00594091610276943,0.206955066035039
"GNB2",1.50112854525557,7.95441753880037,11.8403374965579,0.00595449670515553,0.206955066035039
"LTB",-1.62691097815981,8.13983374177093,11.823310999079,0.0059789224304057,0.206955066035039
"CTSW",-2.38917450871609,6.57056522984251,11.7670334989056,0.00606508385291269,0.207623062737364
"TMEM170B",-3.14428253044075,6.34407856516916,11.7656899100611,0.00606770428947767,0.207623062737364
"CEBPZOS",2.21397064401047,5.97303744399106,11.7753247044037,0.00607288747397708,0.207623062737364
"C4orf3",1.61306473771458,8.08046701153251,11.6667067515196,0.00621882942468473,0.211744796166204
"IGF2R",2.37774447359641,5.74630722612693,11.6165992967174,0.00627750351591672,0.212873716787712
"TSC22D4",1.85451099895772,6.44000896111884,11.5941948721921,0.00635368049599117,0.214533550600915
"PAXX",-2.53206478029845,6.33196545174044,11.5674503122532,0.00637788546499963,0.214533550600915
"ETS2",1.85059131523828,6.44197568657393,11.5596971412928,0.00640908930350564,0.214717361324675
"LDHB",-1.49742456834243,8.57487740270492,11.5147997668421,0.00646086527924352,0.215586152637798
"CCDC71L",1.808412045118,6.58932606789789,11.4289581384473,0.00661970532015683,0.220006301915332
"BATF",3.46529498701043,5.28335803063348,10.8754400754266,0.00678401106818954,0.224572302900147
"VAPA",1.27759736640473,8.74220965439135,11.2717914074368,0.00687381340482456,0.22614676617662
"ESYT2",-5.86039625518314,5.22386345414623,11.2774598079909,0.00688579220916584,0.22614676617662
"PLIN2",1.59061062662342,7.03570744742147,11.2420949822596,0.00693185083169535,0.226335967626167
"CD86",-5.96414129557577,5.29857117107558,11.2419798282302,0.00694581727550933,0.226335967626167
"NDRG1",2.18795540430437,6.43251094669201,11.2131311867226,0.00700641436409384,0.227228982769057
"JUND",-1.22559960739322,11.2209383712609,11.1854234514137,0.00702770049801206,0.227228982769057
"BAX",-2.29159032890373,6.49098518932625,11.0691734604987,0.00724425129281966,0.233326425809659
"CHMP2A",1.89279841365351,7.00057913041998,10.9883002089362,0.0074048237031292,0.236737164492385
"CSTA",-1.56649290592899,8.08998063691242,10.9826097773876,0.00740690481089816,0.236737164492385
"H2AFY",1.36103886697712,8.04564073519558,10.9462242912939,0.00747820456299528,0.238103749864529
"GTF3A",-1.69297586296183,7.63827798553659,10.8903784253244,0.00758752261844632,0.240665831494598
"SLC25A39",-5.86432056727205,5.22654363802462,10.8654038297857,0.00766047155801389,0.241145863158309
"SKAP1",-5.86432056727205,5.22654363802462,10.8654038297857,0.00766047155801389,0.241145863158309
"EIF4G3",2.94624246864871,4.97816204125817,10.3943381646894,0.00774801465614748,0.241192126934679
"EDN1",2.94624246864871,4.97816204125817,10.3943381646894,0.00774801465614748,0.241192126934679
"MCTP2",2.4481131492575,5.59053146454831,10.7659338842435,0.00775611447974058,0.241192126934679
"GMFG",1.39177983711443,9.46928121983249,10.7902632307303,0.00778903209411887,0.241192126934679
"SRRT",3.36129203628481,5.20821944820501,10.3655326199074,0.00780650614629145,0.241192126934679
