"gene","HC1","HC2","NSES"
"FCHO1",4.04312272295644,4.10973135280164,4.45565018125735
"JAK3",5.23916589294564,5.38075636542466,6.82725912892822
"RPL18A",12.0357892301629,12.026323706904,11.3815192356861
"CCDC124",5.42931587612097,5.75127484793027,4.45565018125735
"ARRDC2",5.23916589294564,5.57787780722941,4.45565018125735
"IL12RB1",4.44669159404492,5.15237377129022,3.48082754210608
"MAST3",4.44669159404492,4.10973135280164,4.45565018125735
"IFI30",7.00257720273518,7.35461507607964,6.34379405572357
"RAB3A",4.04312272295644,4.88091111817509,3.48082754210608
"IQCN",3.48082754210608,4.10973135280164,4.45565018125735
"JUND",11.3098705325111,11.7142932262501,10.3069825575527
"LSM4",6.0084396527514,5.90604956903415,4.45565018125735
"PGPEP1",5.02009356627595,5.38075636542466,6.82725912892822
"LRRC25",6.87758025613716,5.90604956903415,7.52052684447922
"SSBP4",6.32802562553263,6.17323145804348,5.61139554019353
"ELL",5.59729726055919,5.75127484793027,5.2520788307383
"FKBP8",6.42054890480812,6.49929514702503,7.13443732297078
"KXD1",4.76169449409717,4.88091111817509,5.0321216312624
"AC005253.1",4.04312272295644,3.48082754210608,4.45565018125735
"UBA52",11.27931016981,11.308680102404,10.6152562922891
"REX1BD",6.58949650157832,6.91845641928387,4.45565018125735
"KLHL26",3.48082754210608,4.10973135280164,4.45565018125735
"CRTC1",3.48082754210608,4.10973135280164,4.04905405047373
"UPF1",5.23916589294564,4.10973135280164,5.2520788307383
"COPE",6.0084396527514,6.7650800441311,7.34035923371007
"DDX49",4.04312272295644,4.54624760585208,4.04905405047373
"HOMER3",5.02009356627595,4.54624760585208,4.45565018125735
"SUGP2",4.44669159404492,4.88091111817509,4.04905405047373
"SLC25A42",4.04312272295644,4.10973135280164,3.48082754210608
"BORCS8",3.48082754210608,4.54624760585208,4.04905405047373
"RFXANK",4.44669159404492,5.38075636542466,5.0321216312624
"SUGP1",4.44669159404492,3.48082754210608,4.04905405047373
"MAU2",4.76169449409717,3.48082754210608,5.61139554019353
"GATAD2A",6.22915951780443,6.04581683429422,6.68338572932004
"NDUFA13",6.81077107757232,6.84380549892419,6.75711516621442
"YJEFN3",4.04312272295644,3.48082754210608,4.04905405047373
"LPAR2",5.23916589294564,4.54624760585208,5.44289479092054
"GMIP",4.04312272295644,5.15237377129022,5.44289479092054
"ZNF101",5.42931587612097,5.15237377129022,5.2520788307383
"ZNF506",5.88397211596874,4.10973135280164,4.04905405047373
"ZNF93",3.48082754210608,4.54624760585208,4.04905405047373
"ZNF682",4.04312272295644,4.10973135280164,3.48082754210608
"ZNF737",4.04312272295644,3.48082754210608,4.04905405047373
"ZNF626",4.44669159404492,3.48082754210608,4.04905405047373
"ZNF430",5.74774357290188,5.57787780722941,5.76225821868372
"ZNF714",4.04312272295644,4.10973135280164,3.48082754210608
"ZNF431",5.74774357290188,5.38075636542466,5.76225821868372
"ZNF708",5.23916589294564,3.48082754210608,4.45565018125735
"ZNF493",4.44669159404492,5.15237377129022,5.2520788307383
"ZNF429",4.04312272295644,4.54624760585208,3.48082754210608
"ZNF100",5.02009356627595,4.88091111817509,5.0321216312624
"ZNF43",5.02009356627595,4.54624760585208,4.04905405047373
"ZNF91",5.02009356627595,5.15237377129022,5.0321216312624
"ZNF675",4.04312272295644,5.15237377129022,4.04905405047373
"ZNF254",5.42931587612097,4.54624760585208,5.44289479092054
"LINC00662",4.04312272295644,4.10973135280164,3.48082754210608
"UQCRFS1",6.94143204317514,7.73109607375254,6.82725912892822
"POP4",4.04312272295644,5.15237377129022,5.2520788307383
"URI1",6.32802562553263,5.57787780722941,6.13839840344629
"ZNF507",4.44669159404492,4.10973135280164,4.04905405047373
"PDCD5",5.42931587612097,5.90604956903415,5.2520788307383
"NUDT19",4.76169449409717,4.10973135280164,3.48082754210608
"CEBPA",5.42931587612097,4.10973135280164,4.04905405047373
"CEBPG",5.59729726055919,4.88091111817509,4.45565018125735
"PEPD",5.23916589294564,4.88091111817509,4.04905405047373
"LSM14A",7.11760247419472,6.91845641928387,6.13839840344629
"KIAA0355",4.04312272295644,4.54624760585208,4.77248964499869
"GPI",4.76169449409717,5.57787780722941,7.38755401150917
"UBA2",5.74774357290188,5.38075636542466,5.61139554019353
"ZNF302",3.48082754210608,4.54624760585208,4.04905405047373
"AC020910.4",4.04312272295644,4.10973135280164,3.48082754210608
"AC008555.5",4.44669159404492,4.10973135280164,3.48082754210608
"GRAMD1A",5.23916589294564,5.15237377129022,6.02358031004547
"FXYD1",3.48082754210608,4.10973135280164,4.04905405047373
"FXYD7",5.74774357290188,4.88091111817509,4.45565018125735
"FXYD5",8.69894430132708,9.1453516470043,7.92417497407499
"LSR",4.44669159404492,4.10973135280164,4.04905405047373
"USF2",5.74774357290188,6.04581683429422,6.60568442928479
