"gene","logFC","logCPM","F","PValue","FDR"
"PUS10",2.56617975330317,4.45546257918814,1.81007091487914,0.178537192177664,0.712064097575973
"CFLAR-AS1",2.56617975330317,4.45546257918814,1.81007091487914,0.178537192177664,0.712064097575973
"RAD18",2.56617975330317,4.45546257918814,1.81007091487914,0.178537192177664,0.712064097575973
"ZNF852",2.56617975330317,4.45546257918814,1.81007091487914,0.178537192177664,0.712064097575973
"RASSF1-AS1",2.56617975330317,4.45546257918814,1.81007091487914,0.178537192177664,0.712064097575973
"SCFD2",2.56617975330317,4.45546257918814,1.81007091487914,0.178537192177664,0.712064097575973
"CLCN3",2.56617975330317,4.45546257918814,1.81007091487914,0.178537192177664,0.712064097575973
"CEP44",2.56617975330317,4.45546257918814,1.81007091487914,0.178537192177664,0.712064097575973
"AC016575.1",2.56617975330317,4.45546257918814,1.81007091487914,0.178537192177664,0.712064097575973
"FCHSD1",2.56617975330317,4.45546257918814,1.81007091487914,0.178537192177664,0.712064097575973
"UBTD2",2.56617975330317,4.45546257918814,1.81007091487914,0.178537192177664,0.712064097575973
"HIST1H4J",2.56617975330317,4.45546257918814,1.81007091487914,0.178537192177664,0.712064097575973
"TBC1D22B",2.56617975330317,4.45546257918814,1.81007091487914,0.178537192177664,0.712064097575973
"TRAM2",2.56617975330317,4.45546257918814,1.81007091487914,0.178537192177664,0.712064097575973
"PTCD1",2.56617975330317,4.45546257918814,1.81007091487914,0.178537192177664,0.712064097575973
"RBM28",2.56617975330317,4.45546257918814,1.81007091487914,0.178537192177664,0.712064097575973
"UTP14A",2.56617975330317,4.45546257918814,1.81007091487914,0.178537192177664,0.712064097575973
"PLAT",2.56617975330317,4.45546257918814,1.81007091487914,0.178537192177664,0.712064097575973
"AC023590.1",2.56617975330317,4.45546257918814,1.81007091487914,0.178537192177664,0.712064097575973
"AL512625.1",2.56617975330317,4.45546257918814,1.81007091487914,0.178537192177664,0.712064097575973
"IPPK",2.56617975330317,4.45546257918814,1.81007091487914,0.178537192177664,0.712064097575973
"ELP1",2.56617975330317,4.45546257918814,1.81007091487914,0.178537192177664,0.712064097575973
"ST6GALNAC6",2.56617975330317,4.45546257918814,1.81007091487914,0.178537192177664,0.712064097575973
"ENDOD1",2.56617975330317,4.45546257918814,1.81007091487914,0.178537192177664,0.712064097575973
"ZNF202",2.56617975330317,4.45546257918814,1.81007091487914,0.178537192177664,0.712064097575973
"SPA17",2.56617975330317,4.45546257918814,1.81007091487914,0.178537192177664,0.712064097575973
"CHEK1",2.56617975330317,4.45546257918814,1.81007091487914,0.178537192177664,0.712064097575973
"NCAPD3",2.56617975330317,4.45546257918814,1.81007091487914,0.178537192177664,0.712064097575973
"DDIT4-AS1",2.56617975330317,4.45546257918814,1.81007091487914,0.178537192177664,0.712064097575973
"CNNM2",2.56617975330317,4.45546257918814,1.81007091487914,0.178537192177664,0.712064097575973
"NHLRC2",2.56617975330317,4.45546257918814,1.81007091487914,0.178537192177664,0.712064097575973
"AC016957.2",2.56617975330317,4.45546257918814,1.81007091487914,0.178537192177664,0.712064097575973
"AC009779.2",2.56617975330317,4.45546257918814,1.81007091487914,0.178537192177664,0.712064097575973
"SPRYD4",2.56617975330317,4.45546257918814,1.81007091487914,0.178537192177664,0.712064097575973
"DTX3",2.56617975330317,4.45546257918814,1.81007091487914,0.178537192177664,0.712064097575973
"ZNF268",2.56617975330317,4.45546257918814,1.81007091487914,0.178537192177664,0.712064097575973
"AL138966.2",2.56617975330317,4.45546257918814,1.81007091487914,0.178537192177664,0.712064097575973
"COG6",2.56617975330317,4.45546257918814,1.81007091487914,0.178537192177664,0.712064097575973
"THSD1",2.56617975330317,4.45546257918814,1.81007091487914,0.178537192177664,0.712064097575973
"GPHN",2.56617975330317,4.45546257918814,1.81007091487914,0.178537192177664,0.712064097575973
"DNAL1",2.56617975330317,4.45546257918814,1.81007091487914,0.178537192177664,0.712064097575973
"AL049840.2",2.56617975330317,4.45546257918814,1.81007091487914,0.178537192177664,0.712064097575973
"NUSAP1",2.56617975330317,4.45546257918814,1.81007091487914,0.178537192177664,0.712064097575973
"FBXL22",2.56617975330317,4.45546257918814,1.81007091487914,0.178537192177664,0.712064097575973
"MTFMT",2.56617975330317,4.45546257918814,1.81007091487914,0.178537192177664,0.712064097575973
"ZNF597",2.56617975330317,4.45546257918814,1.81007091487914,0.178537192177664,0.712064097575973
"PALB2",2.56617975330317,4.45546257918814,1.81007091487914,0.178537192177664,0.712064097575973
"PLLP",2.56617975330317,4.45546257918814,1.81007091487914,0.178537192177664,0.712064097575973
"MYO18A",2.56617975330317,4.45546257918814,1.81007091487914,0.178537192177664,0.712064097575973
"EPOP",2.56617975330317,4.45546257918814,1.81007091487914,0.178537192177664,0.712064097575973
"SLC35C2",2.56617975330317,4.45546257918814,1.81007091487914,0.178537192177664,0.712064097575973
"MTG2",2.56617975330317,4.45546257918814,1.81007091487914,0.178537192177664,0.712064097575973
"ICAM4",2.56617975330317,4.45546257918814,1.81007091487914,0.178537192177664,0.712064097575973
"AC005776.2",2.56617975330317,4.45546257918814,1.81007091487914,0.178537192177664,0.712064097575973
"ANKRD27",2.56617975330317,4.45546257918814,1.81007091487914,0.178537192177664,0.712064097575973
"CEACAM21",2.56617975330317,4.45546257918814,1.81007091487914,0.178537192177664,0.712064097575973
"CEACAM3",2.56617975330317,4.45546257918814,1.81007091487914,0.178537192177664,0.712064097575973
"AC020909.2",2.56617975330317,4.45546257918814,1.81007091487914,0.178537192177664,0.712064097575973
"ZNF468",2.56617975330317,4.45546257918814,1.81007091487914,0.178537192177664,0.712064097575973
"SYT5",2.56617975330317,4.45546257918814,1.81007091487914,0.178537192177664,0.712064097575973
"AP000355.1",2.56617975330317,4.45546257918814,1.81007091487914,0.178537192177664,0.712064097575973
"NF2",2.56617975330317,4.45546257918814,1.81007091487914,0.178537192177664,0.712064097575973
"CACNA1I",2.56617975330317,4.45546257918814,1.81007091487914,0.178537192177664,0.712064097575973
"CHAF1B",2.56617975330317,4.45546257918814,1.81007091487914,0.178537192177664,0.712064097575973
"CHI3L1",2.56617975330317,4.45546257918814,1.81007091487914,0.178537192177664,0.712064097575973
"FBRSL1",-1.24805915101073,5.41598902309613,1.80769520108353,0.178822412995671,0.712612182560013
"IQGAP2",-1.1201748399102,5.66282517274097,1.80768508649412,0.17882363426851,0.712612182560013
"RIT1",-0.799482022277167,7.15758304195085,1.80644903568544,0.178972252767033,0.712907382533905
"MYO1G",-0.853749913620123,6.67647548458344,1.80489779550037,0.179158956339613,0.713173542046227
"AIMP1",-0.893644299548956,6.40856029944913,1.80454112018364,0.17920191592851,0.713173542046227
"YPEL3",-0.82107304171787,6.88129202958452,1.80403601363194,0.179262776566199,0.713173542046227
"TGIF2",-1.64861300822928,4.89729609855002,1.80096312154281,0.179633520470212,0.71435134710067
"SF3B5",-0.76398408900074,7.64282796870361,1.79941708269559,0.179820411157923,0.714797345101569
"ARAP1",1.19250994485764,5.59842677091657,1.79676549458807,0.180141433345019,0.715498225868821
"JARID2",-0.76052422934346,7.56180615827114,1.79612410082218,0.18021919109593,0.715498225868821
"PNKD",-1.11849013587195,5.66037417555335,1.79610772862332,0.180221165424298,0.715498225868821
"BAG4",-1.21948377965389,5.40105129274826,1.79453301903609,0.180412221686202,0.715883844720839
"NCF4",1.09758182405034,5.88412543967877,1.79407377576975,0.180467999751353,0.715883844720839
"BLOC1S4",-0.990264684893408,5.944828040856,1.79139606693873,0.180793540555356,0.716796383620255
"AL118516.1",-0.925852845942976,6.23934247395086,1.7909491997941,0.180847937439949,0.716796383620255
"REL",-0.733833488813185,8.18832449846579,1.79015111507537,0.18094513324463,0.716884529557431
"AKAP9",-0.954120301796872,6.11718387035823,1.78783546074011,0.181227478275197,0.717705839430221
"BRMS1",0.9865840804097,6.17923924589428,1.78192327507117,0.18195067413748,0.720038593217429
"MCRIP2",-1.05151974004035,5.78486923799146,1.78178930432017,0.181967093246186,0.720038593217429
"METTL22",-1.44294938102749,5.15503485394412,1.78090525043248,0.18207551793188,0.72008692969241
