"dataset","sample_id","group","S100A8","independent_score","antigen_score","monocyte_core_score","combined_score"
"GSE65682","GSM1602928","Sepsis",13.23244393,1.27570134848483,1.02944195814004,1.09070886725573,0.246259390344788
"GSE65682","GSM1602929","Sepsis",12.92239828,1.27787787886109,0.805370826125901,1.10966218593016,0.47250705273519
"GSE65682","GSM1602930","Sepsis",12.40590781,1.16489391136162,1.22520209584342,1.11296781036238,-0.0603081844817976
"GSE65682","GSM1602931","Sepsis",12.94045134,1.12927889110353,1.21128392494325,1.11564784076165,-0.0820050338397207
"GSE65682","GSM1602932","Sepsis",13.32095781,1.26902899742373,0.639054745879838,1.02594480557952,0.629974251543892
"GSE65682","GSM1602933","Sepsis",13.15446484,1.23293889110833,0.987699600303538,1.11380379121374,0.245239290804793
"GSE65682","GSM1602934","Sepsis",13.22610661,1.2597993517051,1.09708352988635,1.11531658275219,0.162715821818747
"GSE65682","GSM1602935","Sepsis",12.63406514,1.15261355774183,1.09342008224508,1.07527114778993,0.0591934754967445
"GSE65682","GSM1602936","Sepsis",13.31072596,1.26020143634095,1.17887653558769,1.1149827542612,0.0813249007532677
"GSE65682","GSM1602937","Sepsis",12.65607889,1.17613451838538,1.09906155097134,1.0634373114029,0.0770729674140453
"GSE65682","GSM1602938","Sepsis",13.00630769,1.24380271099797,1.05035558625953,1.10824409099849,0.193447124738445
"GSE65682","GSM1602939","Sepsis",12.58483053,1.19480927232635,1.23336194108755,1.15725825870751,-0.0385526687612003
"GSE65682","GSM1602940","Sepsis",13.01780089,1.22207445475331,0.870598871600368,1.07633838472855,0.351475583152946
"GSE65682","GSM1602941","Sepsis",12.30386645,1.11195173233451,1.25726622900396,1.09769838328941,-0.145314496669457
"GSE65682","GSM1602942","Sepsis",13.25036341,1.25217444381085,0.904510333240232,1.15847678718283,0.347664110570617
"GSE65682","GSM1602943","Sepsis",12.77226786,1.12173327210397,1.25301387775753,1.09168200539182,-0.13128060565356
"GSE65682","GSM1602944","Sepsis",12.46178985,1.1459299755042,1.22229557486782,1.17362131870149,-0.0763655993636214
"GSE65682","GSM1602945","Sepsis",12.82741572,1.165263369728,1.17429336295875,1.09884694837092,-0.00902999323075382
"GSE65682","GSM1602946","Sepsis",13.42962971,1.25406580704925,1.07911273894635,1.09998040892055,0.174953068102893
"GSE65682","GSM1602947","Sepsis",13.36808464,1.25904377815105,1.14919393166149,1.08372723035959,0.109849846489552
"GSE65682","GSM1602948","Healthy",12.00886032,0.886126335639774,1.28904039316511,1.00652512543624,-0.402914057525331
"GSE65682","GSM1602949","Sepsis",12.87993545,1.1699239534084,1.24961727964345,1.16576877490874,-0.0796933262350414
