"gene","module","module_membership","gene_significance","gene_significance_p","gene_significance_FDR"
"FAM122A","pink",0.469705613200847,0.0743018267147682,0.0353937104940356,0.0460763045189517
"FAM122B","blue",0.585325788492588,-0.193535165659267,3.30227325375423e-08,8.31551201976308e-08
"FAM124A","grey",-0.186219879538989,0.0699336367680602,0.0477228224927138,0.0611284027535373
"FAM125B","grey",0.144116045677435,0.0645455086901335,0.0677061437839487,0.0844453276930709
"FAM126A","blue",0.759076735680111,-0.143567551136335,4.49211956257759e-05,8.47442838922196e-05
"FAM126B","yellow",0.767341315764784,0.201750791094551,8.21617143877826e-09,2.16712385980289e-08
"FAM127A","grey",0.566377366674917,0.00559138024627527,0.874378049614288,0.88986855088405
"FAM127B","grey",0.480117787545783,-0.0500861485704369,0.156454551382183,0.184288962473395
"FAM128A","turquoise",0.415886117004205,-0.0736243675702854,0.0371064775101438,0.0481615693810361
"FAM128A ","turquoise",0.346685190487382,-0.0383940937605695,0.277474526524706,0.312876356811607
"FAM128B","turquoise",0.431794855660017,-0.0757713626247749,0.0319086420658255,0.0417947218474806
"FAM129A","red",0.792694726803517,0.11699022452764,0.000902259803240351,0.00146692582800298
"FAM129B","grey",-0.135068547519367,0.134295437312031,0.000136429088213187,0.000244653784968682
"FAM129C","turquoise",0.583525821151477,-0.394962573067226,2.44759586207176e-31,2.54736908593418e-30
"FAM131A","grey",-0.052863711224731,0.0779931304202236,0.0271986677491587,0.0359509572921713
"FAM132A","brown",0.690944161970969,0.124193941473181,0.000423012539540051,0.00071771882885042
"FAM133B ","yellow",0.679722891740381,-0.168102236730325,1.69065008408792e-06,3.69312776176246e-06
"FAM134A","pink",0.784394319151697,0.236370438227606,1.20362346994276e-11,3.87613724766671e-11
"FAM134B","grey",0.106385461654158,-0.207699802994379,2.89100742666746e-09,7.87351058171413e-09
"FAM134C","grey",0.37431868086875,-0.22198646524084,2.06760466472514e-10,6.11103633440451e-10
"FAM136A","blue",0.798741333746924,-0.246944007940096,1.31636605762594e-12,4.51992201269218e-12
"FAM136B","brown",0.528934169376467,0.107964001439173,0.00220096888322058,0.00339830755500158
"FAM138A ","brown",0.607668756432051,0.124315290014301,0.000417502453907366,0.000708985836449851
"FAM13A","grey",-0.0340088991299235,-0.069933864297282,0.0477220966799144,0.0611284027535373
"FAM13B","yellow",0.642296127140742,-0.242552689413633,3.34257065406595e-12,1.11568172870974e-11
"FAM149B1","yellow",0.748358054014599,0.00961392743873758,0.78574177851679,0.808225041906282
"FAM151A","brown",0.738460548279677,0.141627803625744,5.70013907160944e-05,0.000106572957530618
"FAM151B","black",0.650244642991203,0.221058086460009,2.46799520523975e-10,7.26329377453656e-10
"FAM153A ","turquoise",0.528960070226001,-0.435529784106768,1.86317550552297e-38,2.99513768850805e-37
"FAM153B","grey",-0.201084910157599,-0.326127290187516,2.49843457803805e-21,1.45089964420357e-20
"FAM153C","brown",0.709146921659405,0.147372905985491,2.79039187119654e-05,5.39524869469596e-05
"FAM156A ","blue",0.572972222961589,-0.247056108464683,1.28511448183854e-12,4.41390873759256e-12
"FAM157B ","red",0.722710962606403,0.30782028184193,4.61008691470649e-19,2.35713824404212e-18
"FAM158A","grey",0.347037503863432,0.0453575685505113,0.199434149502816,0.230763111969145
"FAM159A","grey",0.200658019998203,-0.336287559118613,1.17856604135125e-22,7.42160958548912e-22
"FAM160A2","red",0.712783274291924,0.34819977743117,2.8319981139128e-24,1.92172471898923e-23
"FAM160B1","yellow",0.771496179638559,0.305169317200221,9.5265040157925e-19,4.78530221007596e-18
"FAM160B2","turquoise",0.446086299199327,-0.242419186539982,3.43764069488447e-12,1.14545667623972e-11
"FAM162A","blue",0.746008336608438,-0.464113339804281,4.37262504030674e-44,1.04364140218645e-42
"FAM163A","brown",0.630448849807424,0.101054306171017,0.00417416935850194,0.00619752827977755
"FAM163B ","brown",0.724744278781896,0.11175937805497,0.00152449103510389,0.00240872461108029
"FAM164A","turquoise",0.591997119987505,-0.311238264470366,1.78857306824027e-19,9.33643108539321e-19
"FAM165B","turquoise",0.441033592902684,-0.0784951837103093,0.0262214631573979,0.0347415858385015
"FAM168A","grey",-0.0897683245359008,-0.227969460880078,6.48378919955503e-11,1.97976877617471e-10
"FAM168B","blue",0.676022127711774,-0.420689069053057,9.73016383208919e-36,1.29577034032106e-34
"FAM169A","turquoise",0.504539338034649,-0.358370276335798,1.03129916672758e-25,7.62510721443568e-25
"FAM172A","yellow",0.59423714923857,0.100711016920595,0.00430491471216765,0.00637871987759423
"FAM173A","turquoise",0.610002953000611,-0.20435796970851,5.21852372051666e-09,1.39625295618116e-08
"FAM173B","grey",0.134676217066773,0.0394138767613748,0.264902841656267,0.29999965223906
"FAM174A","yellow",0.589699892724887,-0.266153680752215,1.79849602763902e-14,6.9490850471156e-14
"FAM175A","blue",0.628770747389265,-0.108054543693205,0.00218205451838568,0.00337043586410463
"FAM175B","blue",0.544134396079453,-0.216670880948917,5.63689197814887e-10,1.61948362569077e-09
"FAM176B","grey",0.139852653802197,0.0321634443158232,0.362996202534303,0.401202725407855
"FAM177A1","black",0.76055443990555,0.384807257914857,1.05236919808942e-29,9.81122882451065e-29
"FAM177B","grey",0.0154777758245924,-0.0680778277541148,0.0539589111625534,0.0684059368145785
"FAM178A","blue",0.554586595549151,-0.305356722843497,9.05221953413008e-19,4.55878645124497e-18
"FAM179A","grey",-0.349600122239498,-0.106827926365811,0.00245138591952113,0.00376412363612004
"FAM179B","blue",0.555050116782297,-0.168963750029025,1.49305738903222e-06,3.27907412707433e-06
"FAM181B","brown",0.805974413904767,0.0690641627636044,0.050564883272925,0.0644938906264048
"FAM185A","brown",0.661329450067442,0.142563639288906,5.08334284379877e-05,9.55286959372639e-05
"FAM188A","yellow",0.832406583648103,0.065743822129826,0.0627514197741302,0.0786002445845481
"FAM188B","brown",0.811423231870226,0.117266777224428,0.000877060442721956,0.00142793433290617
"FAM189B","grey",0.437610661296125,-0.0611412693898098,0.0835561497936227,0.102651695086641
"FAM18A","brown",0.644749969419531,0.0548324460230067,0.120763090181107,0.144602294250781
"FAM18B ","yellow",0.7938981770729,0.0209073144505191,0.554367658005276,0.590839691911083
"FAM18B2","brown",0.609355701075503,0.0314461741378198,0.373802022945757,0.412135281484743
"FAM190B","blue",0.75037966860232,-0.432462288232582,6.96878461179914e-38,1.08455759449766e-36
"FAM192A","green",0.641500749340383,-0.0391942860330265,0.26757625614871,0.302880918169297
"FAM193A","green",0.656821152205016,-0.303808586189875,1.37875614506723e-18,6.84066183913752e-18
"FAM193B","green",0.609834452592521,0.0145408589629738,0.68094727393731,0.711612368759705
"FAM195A","turquoise",0.513484718466561,-0.0682163442414333,0.0534711084598812,0.0678315566184615
"FAM195B","grey",0.466841427426098,-0.0278283805365381,0.431274870171789,0.469669194642058
"FAM198B","yellow",0.513580576480915,0.112997747501287,0.00134906972516122,0.00214544010166431
"FAM199X","yellow",0.748462793674571,0.0177845040108953,0.615031530149455,0.648452946632611
"FAM200B","red",0.531906863710225,0.292032704523783,3.11804849860796e-17,1.4237119169916e-16
"FAM20A","black",0.621926905383106,0.259436652051382,8.40310222714954e-14,3.0918667189942e-13
"FAM20B","pink",0.798666914295843,0.0317673264154657,0.368939455785858,0.407272181834445
