"fold","strategy","algorithm","ROC_AUC","PR_AUC","sensitivity","specificity","balanced_accuracy","PPV","NPV","F1","MCC","Brier","calibration_slope"
"Fold4.Rep08","weighted","Ranger",1,1,0.993421052631579,1,0.996710526315789,1,0.888888888888889,0.996699669966997,0.939702578304707,0.004771575,25.2830623841674
"Fold4.Rep08","weighted","XGBoost",1,1,0.986842105263158,1,0.993421052631579,1,0.8,0.993377483443709,0.888523316638638,0.00951006050585749,482.518077340585
"Fold5.Rep08","weighted","LASSO",1,1,0.993421052631579,1,0.996710526315789,1,0.9,0.996699669966997,0.945557479674515,0.00530449753676895,21.2271495308367
"Fold5.Rep08","weighted","glmBoost",1,1,0.960526315789474,1,0.980263157894737,1,0.6,0.979865771812081,0.759154654516248,0.0399603513388006,44.7458060405027
"Fold5.Rep08","weighted","Ranger",1,1,1,1,1,1,1,1,1,0.00131483229813665,14.2678766146159
"Fold5.Rep08","weighted","XGBoost",1,1,1,1,1,1,1,1,1,0.00188319615443261,12.2750018177852
"Fold1.Rep09","weighted","LASSO",0.999269005847953,0.999956859206933,0.980263157894737,1,0.990131578947368,1,0.75,0.990033222591362,0.857436509848428,0.0113804371208499,1.56767451853102
"Fold1.Rep09","weighted","glmBoost",0.998538011695906,0.999914280512879,0.967105263157895,1,0.983552631578947,1,0.642857142857143,0.983277591973244,0.78848622455677,0.0383076261241476,3.41129922664918
"Fold1.Rep09","weighted","Ranger",0.998538011695906,0.999913433654095,0.993421052631579,0.888888888888889,0.941154970760234,0.993421052631579,0.888888888888889,0.993421052631579,0.882309941520468,0.00734499378881988,2.77008343338566
"Fold1.Rep09","weighted","XGBoost",0.99780701754386,0.999872253003179,0.993421052631579,1,0.996710526315789,1,0.9,0.996699669966997,0.945557479674515,0.00978141482386258,2.31390862974754
"Fold2.Rep09","weighted","LASSO",0.999177631578947,0.999956859206933,0.986842105263158,1,0.993421052631579,1,0.8,0.993377483443709,0.888523316638638,0.0118117573776491,5.91883815072508
"Fold2.Rep09","weighted","glmBoost",0.999177631578947,0.999956859206933,0.980263157894737,1,0.990131578947368,1,0.727272727272727,0.990033222591362,0.844345107338866,0.0328340052226597,8.65678887019422
"Fold2.Rep09","weighted","Ranger",1,1,1,0.875,0.9375,0.993464052287582,1,0.99672131147541,0.932352425723039,0.003283475,41.3760244829733
"Fold2.Rep09","weighted","XGBoost",1,1,1,0.875,0.9375,0.993464052287582,1,0.99672131147541,0.932352425723039,0.0049789390822881,24.2773767364842
"Fold3.Rep09","weighted","LASSO",1,1,1,1,1,1,1,1,1,0.000976057648724177,11.5215011951842
"Fold3.Rep09","weighted","glmBoost",1,1,1,1,1,1,1,1,1,0.0144034812616421,18.7400772360677
"Fold3.Rep09","weighted","Ranger",1,1,1,1,1,1,1,1,1,0.0003411,9.48775418664868
"Fold3.Rep09","weighted","XGBoost",1,1,1,1,1,1,1,1,1,0.002726292993804,11.7886545699477
"Fold4.Rep09","weighted","LASSO",1,1,0.993421052631579,1,0.996710526315789,1,0.9,0.996699669966997,0.945557479674515,0.00385706589129002,15.4835076306333
"Fold4.Rep09","weighted","glmBoost",1,1,0.967105263157895,1,0.983552631578947,1,0.642857142857143,0.983277591973244,0.78848622455677,0.0417728265070463,43.926724307268
"Fold4.Rep09","weighted","Ranger",1,1,1,1,1,1,1,1,1,0.00186929192546584,18.6220209319956
"Fold4.Rep09","weighted","XGBoost",1,1,1,1,1,1,1,1,1,0.000441553534720281,9.91842245287608
"Fold5.Rep09","weighted","LASSO",1,1,0.993421052631579,1,0.996710526315789,1,0.888888888888889,0.996699669966997,0.939702578304707,0.00727082142485757,20.3379511185635
"Fold5.Rep09","weighted","glmBoost",1,1,0.967105263157895,1,0.983552631578947,1,0.615384615384615,0.983277591973244,0.771454276289177,0.0647033630700823,48.1003239915744
"Fold5.Rep09","weighted","Ranger",1,1,1,1,1,1,1,1,1,0.0021876,15.7192281656658
"Fold5.Rep09","weighted","XGBoost",1,1,0.986842105263158,1,0.993421052631579,1,0.8,0.993377483443709,0.888523316638638,0.00481126417134933,12.4509362495633
"Fold1.Rep10","weighted","LASSO",1,1,1,1,1,1,1,1,1,0.000235222939950591,8.02911469085755
"Fold1.Rep10","weighted","glmBoost",1,1,0.967105263157895,1,0.983552631578947,1,0.642857142857143,0.983277591973244,0.78848622455677,0.0674582627043948,46.6951722534968
"Fold1.Rep10","weighted","Ranger",1,1,1,1,1,1,1,1,1,0.00142685714285714,14.9783475562044
"Fold1.Rep10","weighted","XGBoost",1,1,1,1,1,1,1,1,1,0.000169257886840261,8.21946261470707
"Fold2.Rep10","weighted","LASSO",0.999269005847953,0.999956859206933,0.973684210526316,1,0.986842105263158,1,0.692307692307692,0.986666666666667,0.821029274037114,0.0142575876916931,2.09171505675338
"Fold2.Rep10","weighted","glmBoost",0.998538011695906,0.999913433654095,0.967105263157895,1,0.983552631578947,1,0.642857142857143,0.983277591973244,0.78848622455677,0.0294697777465158,5.2094538485201
"Fold2.Rep10","weighted","Ranger",1,1,1,1,1,1,1,1,1,0.00621572670807453,97.8732233232511
"Fold2.Rep10","weighted","XGBoost",1,1,1,0.888888888888889,0.944444444444444,0.993464052287582,1,0.99672131147541,0.939722915326088,0.00502490758074286,444.275648330577
"Fold3.Rep10","weighted","LASSO",0.997532894736842,0.999872253003179,0.993421052631579,1,0.996710526315789,1,0.888888888888889,0.996699669966997,0.939702578304707,0.0116279058350214,1.58686994287577
"Fold3.Rep10","weighted","glmBoost",0.998355263157895,0.999914280512879,0.973684210526316,1,0.986842105263158,1,0.666666666666667,0.986666666666667,0.805681579172283,0.061070146164147,3.31828690484294
"Fold3.Rep10","weighted","Ranger",1,1,0.993421052631579,1,0.996710526315789,1,0.888888888888889,0.996699669966997,0.939702578304707,0.0038608,58.5043238498967
"Fold3.Rep10","weighted","XGBoost",0.998355263157895,0.999914280512879,0.993421052631579,1,0.996710526315789,1,0.888888888888889,0.996699669966997,0.939702578304707,0.00626504734950678,1.12587825780278
"Fold4.Rep10","weighted","LASSO",1,1,0.993421052631579,1,0.996710526315789,1,0.888888888888889,0.996699669966997,0.939702578304707,0.00313258102175813,9.87681177483257
"Fold4.Rep10","weighted","glmBoost",1,1,0.993421052631579,1,0.996710526315789,1,0.888888888888889,0.996699669966997,0.939702578304707,0.0137474251106183,14.2664579004412
"Fold4.Rep10","weighted","Ranger",1,1,1,1,1,1,1,1,1,0.000851675,15.4025692577117
"Fold4.Rep10","weighted","XGBoost",1,1,1,1,1,1,1,1,1,0.00385246756896272,14.221383163106
"Fold5.Rep10","weighted","LASSO",1,1,1,1,1,1,1,1,1,0.00857431761865996,63.8021743051579
"Fold5.Rep10","weighted","glmBoost",1,1,0.967105263157895,1,0.983552631578947,1,0.615384615384615,0.983277591973244,0.771454276289177,0.0684691852330312,110.912049667854
"Fold5.Rep10","weighted","Ranger",1,1,1,0.875,0.9375,0.993464052287582,1,0.99672131147541,0.932352425723039,0.0041339,42.324493933932
