"fold","strategy","algorithm","gene","importance","rank","selected"
"Fold1.Rep01","unweighted","XGBoost","NOV",0.0124921053926713,10,TRUE
"Fold1.Rep01","unweighted","XGBoost","FAM43A",0.00738086757544758,11,TRUE
"Fold1.Rep01","unweighted","XGBoost","RFTN1",0.0071372821360163,12,TRUE
"Fold1.Rep01","unweighted","XGBoost","GATA2",0.00683323296251778,13,TRUE
"Fold1.Rep01","unweighted","XGBoost","EPHX2",0.0063879783289324,14,TRUE
"Fold1.Rep01","unweighted","XGBoost","IKZF2",0.00598638843359141,15,TRUE
"Fold1.Rep01","unweighted","XGBoost","FAM102A",0.00524953763367079,16,TRUE
"Fold1.Rep01","unweighted","XGBoost","PID1",0.0041779981210277,17,TRUE
"Fold1.Rep01","unweighted","XGBoost","UPP1",0.00412829722294321,18,TRUE
"Fold1.Rep01","unweighted","XGBoost","NMT2",0.00411153043467419,19,TRUE
"Fold1.Rep01","unweighted","XGBoost","NELL2",0.00407371557474237,20,TRUE
"Fold1.Rep01","unweighted","XGBoost","TBC1D4",0.00347653297706922,21,FALSE
"Fold1.Rep01","unweighted","XGBoost","PTCH1",0.00240659484721503,22,FALSE
"Fold1.Rep01","unweighted","XGBoost","DYRK2",0.00225026170220659,23,FALSE
"Fold1.Rep01","unweighted","XGBoost","SSBP2",0.00156832071934607,24,FALSE
"Fold1.Rep01","unweighted","XGBoost","LEF1",0.00156494124745943,25,FALSE
"Fold1.Rep01","unweighted","XGBoost","KIAA0748",0.00131834860903844,26,FALSE
"Fold1.Rep01","unweighted","XGBoost","THEM4",0.00124923351979202,27,FALSE
"Fold1.Rep01","unweighted","XGBoost","TCTN1",0.00104408329840139,28,FALSE
"Fold1.Rep01","unweighted","XGBoost","BCKDHB",0.00101289565044612,29,FALSE
"Fold1.Rep01","unweighted","XGBoost","METTL9",0.000952304827112432,30,FALSE
"Fold1.Rep01","unweighted","XGBoost","CD160",0.000882060224756484,31,FALSE
"Fold1.Rep01","unweighted","XGBoost","PARP1",0.000875340669951067,32,FALSE
"Fold1.Rep01","unweighted","XGBoost","PAFAH2",0.000797703926215199,33,FALSE
"Fold1.Rep01","unweighted","XGBoost","GAL3ST4",0.000731357888662964,34,FALSE
"Fold1.Rep01","unweighted","XGBoost","PLEKHA1",0.000584796326882676,35,FALSE
"Fold1.Rep01","unweighted","XGBoost","ARG1",0.000348737589669931,36,FALSE
"Fold1.Rep01","unweighted","XGBoost","TMEM109",0.000308356861283272,37,FALSE
"Fold1.Rep01","unweighted","XGBoost","GCET2",0.00015084509389967,38,FALSE
"Fold1.Rep01","unweighted","XGBoost","KLF12",7.12295441709381e-05,39,FALSE
"Fold2.Rep01","unweighted","LASSO","S100A8",1.24708118884583,1,TRUE
"Fold2.Rep01","unweighted","LASSO","GATA2",0.450269398655938,2,TRUE
"Fold2.Rep01","unweighted","LASSO","CD160",0.382143395092527,3,TRUE
"Fold2.Rep01","unweighted","LASSO","TBC1D4",0.362118510506742,4,TRUE
"Fold2.Rep01","unweighted","LASSO","ARG1",0.263105305995317,5,TRUE
"Fold2.Rep01","unweighted","LASSO","CSRP2BP",0.221102826468288,6,TRUE
"Fold2.Rep01","unweighted","LASSO","SIGLECP3",0.193592380695158,7,TRUE
"Fold2.Rep01","unweighted","LASSO","P2RY10",0.170582154483588,8,TRUE
"Fold2.Rep01","unweighted","LASSO","C19orf59",0.158614654059206,9,TRUE
"Fold2.Rep01","unweighted","LASSO","TIGIT",0.0735704321389712,10,TRUE
"Fold2.Rep01","unweighted","LASSO","FBXL16",0.00269309473166402,11,TRUE
"Fold2.Rep01","unweighted","LASSO","FAM43A",0.0021231248507792,12,TRUE
"Fold2.Rep01","unweighted","LASSO","PAFAH2",0.000727804836080792,13,TRUE
"Fold2.Rep01","unweighted","glmBoost","S100A8",0.436109267334912,1,TRUE
