"sample_id","group","array_median","array_IQR","missing_fraction","S100A8","duplicate_sample_id","label_supported_by_title"
"GSM1602933","Sepsis",3.953562654,3.03374922175,0,13.15446484,FALSE,TRUE
"GSM1602934","Sepsis",3.912970145,3.05394788175,0,13.22610661,FALSE,TRUE
"GSM1602935","Sepsis",3.689205664,2.64126025325,0,12.63406514,FALSE,TRUE
"GSM1602936","Sepsis",4.0702269545,3.100907331,0,13.31072596,FALSE,TRUE
"GSM1602937","Sepsis",3.850906617,2.79246514325,0,12.65607889,FALSE,TRUE
"GSM1602938","Sepsis",3.9948563455,3.0505233185,0,13.00630769,FALSE,TRUE
"GSM1602939","Sepsis",3.6507851965,2.546616125,0,12.58483053,FALSE,TRUE
"GSM1602940","Sepsis",3.7407166225,2.92124622325,0,13.01780089,FALSE,TRUE
"GSM1602941","Sepsis",4.077995141,3.03677920925,0,12.30386645,FALSE,TRUE
"GSM1602942","Sepsis",4.0019823045,3.1928446605,0,13.25036341,FALSE,TRUE
"GSM1602943","Sepsis",4.0619356325,3.1312135315,0,12.77226786,FALSE,TRUE
"GSM1602944","Sepsis",3.6252756305,2.6291220665,0,12.46178985,FALSE,TRUE
"GSM1602945","Sepsis",3.8106525395,2.965189074,0,12.82741572,FALSE,TRUE
"GSM1602946","Sepsis",3.9896937595,3.1997975705,0,13.42962971,FALSE,TRUE
"GSM1602947","Sepsis",4.0895434825,3.19773510775,0,13.36808464,FALSE,TRUE
"GSM1602948","Normal",4.25918227,3.0908876855,0,12.00886032,FALSE,TRUE
"GSM1602949","Sepsis",4.1829229255,3.22891158825,0,12.87993545,FALSE,TRUE
"GSM1602950","Sepsis",3.8884621765,3.1365391365,0,12.311204,FALSE,TRUE
"GSM1602951","Sepsis",4.16297788,3.2778293105,0,13.25766305,FALSE,TRUE
"GSM1602952","Sepsis",3.9751271095,3.1508315745,0,12.91721561,FALSE,TRUE
"GSM1602953","Sepsis",3.76231713,2.52885499475,0,12.93114648,FALSE,TRUE
"GSM1602954","Normal",4.119652856,3.098687978,0,11.2245834,FALSE,TRUE
"GSM1602955","Sepsis",3.7569753735,2.664917885,0,12.51075056,FALSE,TRUE
"GSM1602956","Normal",4.0446849625,3.0023504225,0,11.02787229,FALSE,TRUE
"GSM1602957","Normal",4.0229094475,2.92995423775,0,11.36170643,FALSE,TRUE
"GSM1602958","Sepsis",3.9123404765,2.96050859375,0,13.18452388,FALSE,TRUE
"GSM1602959","Sepsis",3.9861054525,2.98535116625,0,12.80215413,FALSE,TRUE
"GSM1602960","Normal",4.197241755,3.04150490475,0,11.20898249,FALSE,TRUE
"GSM1602961","Normal",4.121945128,3.0307642675,0,10.86665488,FALSE,TRUE
"GSM1602962","Normal",4.174711623,3.01642502675,0,10.7309928,FALSE,TRUE
"GSM1602963","Normal",4.250055174,3.0901496135,0,11.0562146,FALSE,TRUE
"GSM1602964","Normal",4.03156487,3.01883954425,0,11.21409676,FALSE,TRUE
"GSM1602965","Sepsis",4.241000261,3.23033095225,0,12.84983318,FALSE,TRUE
"GSM1602966","Normal",4.265767701,3.10495716925,0,11.9827349,FALSE,TRUE
"GSM1602967","Sepsis",3.923513661,2.914216588,0,11.3557778,FALSE,TRUE
"GSM1602968","Sepsis",4.1205111505,3.0541731955,0,13.15254296,FALSE,TRUE
"GSM1602969","Normal",4.2669296755,3.075619807,0,10.35426087,FALSE,TRUE
"GSM1602970","Sepsis",3.90826082,3.15717993075,0,12.40648193,FALSE,TRUE
"GSM1602971","Sepsis",4.0034971365,3.1249536305,0,12.77652921,FALSE,TRUE
"GSM1602972","Sepsis",3.7494421445,2.711232427,0,12.64944844,FALSE,TRUE
"GSM1602973","Sepsis",3.672351095,2.2278901745,0,12.080136,FALSE,TRUE
"GSM1602974","Sepsis",3.612004576,2.329009662,0,12.95166752,FALSE,TRUE
"GSM1602975","Sepsis",4.178857868,3.21175224625,0,13.01820011,FALSE,TRUE
"GSM1602976","Sepsis",3.858928343,2.990437332,0,13.1321535,FALSE,TRUE
"GSM1691861","Sepsis",3.9991503235,3.140469538,0,13.22147787,FALSE,TRUE
"GSM1691862","Sepsis",3.967142417,3.11787810975,0,12.79445571,FALSE,TRUE
"GSM1691863","Sepsis",3.895352292,3.10738232175,0,12.93576549,FALSE,TRUE
"GSM1691864","Sepsis",3.8181905455,2.983559134,0,12.82496325,FALSE,TRUE
"GSM1691865","Sepsis",3.811713159,3.1131077735,0,13.12381258,FALSE,TRUE
"GSM1691866","Sepsis",3.7885305225,2.822162439,0,12.79194928,FALSE,TRUE
"GSM1691867","Sepsis",3.7549917105,2.86371392925,0,12.88060792,FALSE,TRUE
"GSM1691868","Sepsis",3.7352817545,2.6958788015,0,12.74568537,FALSE,TRUE
"GSM1691869","Sepsis",3.728703018,2.7852248375,0,12.47168722,FALSE,TRUE
"GSM1691870","Sepsis",3.869031074,3.03149038075,0,12.69665455,FALSE,TRUE
"GSM1691871","Sepsis",3.8066632585,3.13476903275,0,13.06677351,FALSE,TRUE
"GSM1691873","Sepsis",3.9078213025,2.999788421,0,13.0616991,FALSE,TRUE
"GSM1691874","Sepsis",3.874941733,3.1513399725,0,12.44796083,FALSE,TRUE
"GSM1691875","Sepsis",4.0990872805,3.20869746275,0,13.0435275,FALSE,TRUE
"GSM1691876","Sepsis",3.9004392795,3.0233063795,0,12.9000184,FALSE,TRUE
"GSM1691877","Sepsis",3.938315947,3.11848537875,0,13.03393607,FALSE,TRUE
"GSM1691878","Sepsis",3.9163644265,3.1606620665,0,12.50820565,FALSE,TRUE
"GSM1691879","Sepsis",3.971554267,3.091122243,0,12.60319137,FALSE,TRUE
"GSM1691880","Sepsis",3.860375944,2.916433008,0,12.79791974,FALSE,TRUE
"GSM1691881","Sepsis",3.88877443,2.98274194725,0,12.85111596,FALSE,TRUE
"GSM1691882","Sepsis",4.041576532,3.376068232,0,13.18447196,FALSE,TRUE
"GSM1691883","Sepsis",3.911187946,2.9885099025,0,12.50588363,FALSE,TRUE
"GSM1691884","Sepsis",3.9318525815,3.0978027795,0,12.51523087,FALSE,TRUE
"GSM1691885","Sepsis",4.089573682,3.16914770125,0,13.10158872,FALSE,TRUE
"GSM1691886","Sepsis",4.090466456,3.19859183075,0,13.01457896,FALSE,TRUE
"GSM1691887","Sepsis",3.738953783,2.94274744075,0,12.51996451,FALSE,TRUE
"GSM1691888","Sepsis",3.850338302,3.11018116775,0,12.84766837,FALSE,TRUE
"GSM1691889","Sepsis",4.0139432585,3.110763648,0,13.04587243,FALSE,TRUE
"GSM1691890","Sepsis",4.1377098395,3.17867579625,0,13.0076138,FALSE,TRUE
"GSM1691891","Sepsis",3.8419687815,2.986601764,0,12.61186318,FALSE,TRUE
"GSM1691892","Sepsis",4.0054704225,3.1722434835,0,12.83337852,FALSE,TRUE
"GSM1691893","Sepsis",3.6934895205,2.48928349375,0,11.63708217,FALSE,TRUE
"GSM1691894","Sepsis",3.6624590335,2.89969321575,0,12.30637116,FALSE,TRUE
"GSM1691895","Sepsis",3.86334438,2.99534631225,0,12.89172881,FALSE,TRUE
"GSM1691896","Sepsis",3.69076534,2.73298494275,0,12.94246208,FALSE,TRUE
"GSM1691897","Sepsis",3.620723126,2.749684445,0,12.91121168,FALSE,TRUE
"GSM1691898","Sepsis",3.950617043,3.07438366175,0,13.08364226,FALSE,TRUE
"GSM1691899","Sepsis",3.8926941845,2.889764674,0,12.38080238,FALSE,TRUE
"GSM1691900","Sepsis",3.7163603105,2.9665617555,0,12.97674502,FALSE,TRUE
"GSM1691901","Sepsis",3.948138284,3.06057306025,0,12.94631496,FALSE,TRUE
"GSM1691902","Sepsis",3.911165172,2.9766422145,0,12.68914735,FALSE,TRUE
"GSM1691903","Sepsis",3.6505578055,2.69060916225,0,12.75353705,FALSE,TRUE
"GSM1691904","Sepsis",4.06241975,3.166978009,0,12.85407513,FALSE,TRUE
"GSM1691905","Sepsis",3.993445174,3.0789014605,0,12.96326939,FALSE,TRUE
"GSM1691906","Sepsis",3.9800093805,3.0858976585,0,12.66643057,FALSE,TRUE
"GSM1691907","Sepsis",4.206553312,3.08240626875,0,12.97939229,FALSE,TRUE
"GSM1691908","Sepsis",3.8536108275,2.9668671985,0,12.65792118,FALSE,TRUE
"GSM1691909","Sepsis",4.149285464,3.16936338375,0,13.28192981,FALSE,TRUE
"GSM1691910","Sepsis",3.8444326865,3.00818617425,0,12.92818352,FALSE,TRUE
"GSM1691911","Sepsis",4.0666355195,3.1127998435,0,13.11510001,FALSE,TRUE
"GSM1691912","Sepsis",3.911505913,2.881359047,0,12.89693647,FALSE,TRUE
"GSM1691913","Sepsis",4.1773597675,3.056101175,0,12.6201038,FALSE,TRUE
"GSM1691914","Sepsis",3.756603198,2.90872696275,0,12.9686485,FALSE,TRUE
"GSM1691915","Sepsis",3.7824151365,2.83020905675,0,12.76603567,FALSE,TRUE
"GSM1691916","Sepsis",3.979554723,2.8852696695,0,12.97728722,FALSE,TRUE
"GSM1691917","Sepsis",3.8540925225,2.959558937,0,12.71394752,FALSE,TRUE
"GSM1691918","Sepsis",3.873431981,3.12872161275,0,13.33649016,FALSE,TRUE
"GSM1691919","Sepsis",4.017483159,3.12202807375,0,13.0734643,FALSE,TRUE
"GSM1691920","Sepsis",3.924837502,3.040721332,0,12.56791202,FALSE,TRUE
"GSM1691921","Sepsis",4.1572572005,3.13920901325,0,13.0148897,FALSE,TRUE
"GSM1691922","Sepsis",3.7837471955,2.84557216575,0,13.0034419,FALSE,TRUE
"GSM1691923","Sepsis",4.135252876,3.10034224025,0,12.82664442,FALSE,TRUE
"GSM1691924","Sepsis",3.774227852,2.69806943425,0,12.98474029,FALSE,TRUE
"GSM1691925","Sepsis",4.192717872,3.32780748525,0,13.27189258,FALSE,TRUE
