"dataset","specificity","sensitivity","AUC"
"GSE26440",0.96875,0.0612244897959184,0.888552295918367
"GSE26440",0.96875,0.0510204081632653,0.888552295918367
"GSE26440",0.96875,0.0408163265306122,0.888552295918367
"GSE26440",1,0.0306122448979592,0.888552295918367
"GSE26440",1,0.0204081632653061,0.888552295918367
"GSE26440",1,0.0102040816326531,0.888552295918367
"GSE26440",1,0,0.888552295918367
"GSE28750",0,1,1
"GSE28750",0.05,1,1
"GSE28750",0.1,1,1
"GSE28750",0.15,1,1
"GSE28750",0.2,1,1
"GSE28750",0.25,1,1
"GSE28750",0.3,1,1
"GSE28750",0.35,1,1
"GSE28750",0.4,1,1
"GSE28750",0.45,1,1
"GSE28750",0.5,1,1
"GSE28750",0.55,1,1
"GSE28750",0.6,1,1
"GSE28750",0.65,1,1
"GSE28750",0.7,1,1
"GSE28750",0.75,1,1
"GSE28750",0.8,1,1
"GSE28750",0.85,1,1
"GSE28750",0.9,1,1
"GSE28750",0.95,1,1
"GSE28750",1,1,1
"GSE28750",1,0.9,1
"GSE28750",1,0.8,1
"GSE28750",1,0.7,1
"GSE28750",1,0.6,1
"GSE28750",1,0.5,1
"GSE28750",1,0.4,1
"GSE28750",1,0.3,1
"GSE28750",1,0.2,1
"GSE28750",1,0.1,1
"GSE28750",1,0,1
"GSE69528",0,1,0.855312157721796
"GSE69528",0.0181818181818182,1,0.855312157721796
"GSE69528",0.0363636363636364,1,0.855312157721796
"GSE69528",0.0545454545454545,1,0.855312157721796
"GSE69528",0.0727272727272727,1,0.855312157721796
"GSE69528",0.0909090909090909,1,0.855312157721796
"GSE69528",0.109090909090909,1,0.855312157721796
"GSE69528",0.127272727272727,1,0.855312157721796
"GSE69528",0.145454545454545,1,0.855312157721796
"GSE69528",0.163636363636364,0.987951807228916,0.855312157721796
"GSE69528",0.163636363636364,0.975903614457831,0.855312157721796
"GSE69528",0.181818181818182,0.975903614457831,0.855312157721796
"GSE69528",0.2,0.975903614457831,0.855312157721796
"GSE69528",0.218181818181818,0.975903614457831,0.855312157721796
"GSE69528",0.218181818181818,0.963855421686747,0.855312157721796
"GSE69528",0.236363636363636,0.963855421686747,0.855312157721796
"GSE69528",0.254545454545455,0.963855421686747,0.855312157721796
"GSE69528",0.290909090909091,0.963855421686747,0.855312157721796
"GSE69528",0.327272727272727,0.963855421686747,0.855312157721796
"GSE69528",0.345454545454545,0.963855421686747,0.855312157721796
"GSE69528",0.381818181818182,0.963855421686747,0.855312157721796
"GSE69528",0.418181818181818,0.963855421686747,0.855312157721796
"GSE69528",0.418181818181818,0.951807228915663,0.855312157721796
"GSE69528",0.472727272727273,0.951807228915663,0.855312157721796
"GSE69528",0.509090909090909,0.939759036144578,0.855312157721796
"GSE69528",0.509090909090909,0.927710843373494,0.855312157721796
"GSE69528",0.527272727272727,0.927710843373494,0.855312157721796
"GSE69528",0.545454545454545,0.927710843373494,0.855312157721796
"GSE69528",0.563636363636364,0.91566265060241,0.855312157721796
"GSE69528",0.6,0.91566265060241,0.855312157721796
"GSE69528",0.618181818181818,0.91566265060241,0.855312157721796
"GSE69528",0.672727272727273,0.91566265060241,0.855312157721796
"GSE69528",0.672727272727273,0.903614457831325,0.855312157721796
"GSE69528",0.690909090909091,0.891566265060241,0.855312157721796
"GSE69528",0.709090909090909,0.879518072289157,0.855312157721796
"GSE69528",0.727272727272727,0.855421686746988,0.855312157721796
"GSE69528",0.745454545454545,0.855421686746988,0.855312157721796
"GSE69528",0.763636363636364,0.843373493975904,0.855312157721796
"GSE69528",0.763636363636364,0.819277108433735,0.855312157721796
"GSE69528",0.781818181818182,0.807228915662651,0.855312157721796
"GSE69528",0.781818181818182,0.795180722891566,0.855312157721796
"GSE69528",0.8,0.759036144578313,0.855312157721796
"GSE69528",0.8,0.746987951807229,0.855312157721796
"GSE69528",0.818181818181818,0.710843373493976,0.855312157721796
"GSE69528",0.818181818181818,0.698795180722892,0.855312157721796
"GSE69528",0.836363636363636,0.698795180722892,0.855312157721796
"GSE69528",0.836363636363636,0.686746987951807,0.855312157721796
"GSE69528",0.854545454545454,0.674698795180723,0.855312157721796
"GSE69528",0.854545454545454,0.63855421686747,0.855312157721796
"GSE69528",0.854545454545454,0.590361445783133,0.855312157721796
"GSE69528",0.872727272727273,0.566265060240964,0.855312157721796
"GSE69528",0.890909090909091,0.566265060240964,0.855312157721796
"GSE69528",0.909090909090909,0.55421686746988,0.855312157721796
"GSE69528",0.909090909090909,0.542168674698795,0.855312157721796
"GSE69528",0.909090909090909,0.530120481927711,0.855312157721796
"GSE69528",0.927272727272727,0.493975903614458,0.855312157721796
"GSE69528",0.945454545454545,0.481927710843373,0.855312157721796
"GSE69528",0.945454545454545,0.469879518072289,0.855312157721796
"GSE69528",0.945454545454545,0.44578313253012,0.855312157721796
"GSE69528",0.945454545454545,0.433734939759036,0.855312157721796
"GSE69528",0.945454545454545,0.409638554216867,0.855312157721796
"GSE69528",0.945454545454545,0.397590361445783,0.855312157721796
"GSE69528",0.963636363636364,0.36144578313253,0.855312157721796
"GSE69528",0.963636363636364,0.349397590361446,0.855312157721796
"GSE69528",0.963636363636364,0.337349397590361,0.855312157721796
"GSE69528",0.963636363636364,0.325301204819277,0.855312157721796
"GSE69528",0.963636363636364,0.313253012048193,0.855312157721796
"GSE69528",0.963636363636364,0.289156626506024,0.855312157721796
"GSE69528",0.963636363636364,0.27710843373494,0.855312157721796
"GSE69528",0.963636363636364,0.265060240963855,0.855312157721796
"GSE69528",0.963636363636364,0.240963855421687,0.855312157721796
