"algorithm","rank","regime"
"Ranger",17,"Repeated 1:1 downsampling"
"LASSO",1,"Repeated 1:1 downsampling"
"glmBoost",1,"Repeated 1:1 downsampling"
"Ranger",63,"Repeated 1:1 downsampling"
"Ranger",46,"Repeated 1:1 downsampling"
"LASSO",2,"Repeated 1:1 downsampling"
"glmBoost",3,"Repeated 1:1 downsampling"
"Ranger",14,"Repeated 1:1 downsampling"
"LASSO",7,"Repeated 1:1 downsampling"
"glmBoost",9,"Repeated 1:1 downsampling"
"Ranger",14,"Repeated 1:1 downsampling"
"Ranger",14,"Repeated 1:1 downsampling"
"LASSO",2,"Repeated 1:1 downsampling"
"glmBoost",1,"Repeated 1:1 downsampling"
"Ranger",3,"Repeated 1:1 downsampling"
"XGBoost",6,"Repeated 1:1 downsampling"
"LASSO",11,"Repeated 1:1 downsampling"
"glmBoost",12,"Repeated 1:1 downsampling"
"Ranger",26,"Repeated 1:1 downsampling"
"Ranger",82,"Repeated 1:1 downsampling"
"LASSO",2,"Repeated 1:1 downsampling"
"glmBoost",1,"Repeated 1:1 downsampling"
"Ranger",13,"Repeated 1:1 downsampling"
"Ranger",17,"Repeated 1:1 downsampling"
"Ranger",46,"Repeated 1:1 downsampling"
"Ranger",87,"Repeated 1:1 downsampling"
"LASSO",2,"Repeated 1:1 downsampling"
"glmBoost",2,"Repeated 1:1 downsampling"
"Ranger",1,"Repeated 1:1 downsampling"
"LASSO",8,"Repeated 1:1 downsampling"
"Ranger",8,"Repeated 1:1 downsampling"
"XGBoost",8,"Repeated 1:1 downsampling"
"LASSO",2,"Repeated 1:1 downsampling"
"glmBoost",2,"Repeated 1:1 downsampling"
"Ranger",20,"Repeated 1:1 downsampling"
"Ranger",46,"Repeated 1:1 downsampling"
"Ranger",44,"Repeated 1:1 downsampling"
"LASSO",6,"Repeated 1:1 downsampling"
"glmBoost",5,"Repeated 1:1 downsampling"
"Ranger",7,"Repeated 1:1 downsampling"
"XGBoost",4,"Repeated 1:1 downsampling"
"Ranger",4,"Repeated 1:1 downsampling"
"LASSO",4,"Repeated 1:1 downsampling"
"glmBoost",6,"Repeated 1:1 downsampling"
"Ranger",16,"Repeated 1:1 downsampling"
"Ranger",17,"Repeated 1:1 downsampling"
"Ranger",29,"Repeated 1:1 downsampling"
"glmBoost",12,"Repeated 1:1 downsampling"
"Ranger",4,"Repeated 1:1 downsampling"
"LASSO",3,"Repeated 1:1 downsampling"
