"Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Regulation"
"ADAM15",3.95900353241022,0.431136357503201,0.094481877407404,4.56316459128081,5.82577074440298e-06,1.21308115411618e-05,"Not significant"
"ADAM17",6.96178209669701,0.589552432968866,0.102590010675178,5.74668458545654,1.2915490323538e-08,3.35751178131193e-08,"Not significant"
"ADAM19",6.98541963390898,0.368559541757713,0.111270872393672,3.3122733185174,0.000966746658510066,0.00156590243138624,"Not significant"
"ADAM28",2.9645865862207,-0.701157285561532,0.0722084993666017,-9.71017666496245,3.75033863773687e-21,2.15442247527639e-20,"Not significant"
"ADAM33",3.18548759755362,0.272276293055328,0.057307169720433,4.7511732717494,2.39510895115785e-06,5.15771440621441e-06,"Not significant"
"ADAM8",6.1900940469813,0.262183759704705,0.096703645024607,2.71120865855667,0.00684688871142242,0.00988891900531912,"Not significant"
"ADAM9",6.22978158811471,1.84929739906975,0.142616897429447,12.9668884431076,4.72106239234658e-35,6.00066487808129e-34,"Up"
"ADAMTS13",2.43276926739651,0.150126647274371,0.045925830366128,3.26889347623195,0.001125572536764,0.00180816786269189,"Not significant"
"ADAMTS15",2.88925787652618,0.225964473985277,0.0547936261657639,4.12391896279468,4.11215277053511e-05,7.80283651520418e-05,"Not significant"
"ADAMTS2",3.44418088821446,0.420916355393549,0.0682163180608081,6.17031770929565,1.07940080632661e-09,3.04513674755454e-09,"Not significant"
"ADAMTS3",2.33516027846509,0.395394729703006,0.100125512622574,3.94899081509282,8.53645452636466e-05,0.000156751348471431,"Not significant"
"ADAMTS9",2.42727676773067,0.0888491995696739,0.0435705623088153,2.03920249961286,0.0417563270947884,0.0538626744330022,"Not significant"
"ADAMTSL1",2.72715256906733,0.129996926594364,0.053753464282375,2.41839160191556,0.015810486299221,0.0216578712963847,"Not significant"
"ADAP1",2.66136358322693,0.191468126964979,0.0538926689201698,3.55276758047735,0.000403409062279922,0.00068596806242516,"Not significant"
"ADAP1 ",2.85905067501247,0.112147757851254,0.0445220060849787,2.51892867624157,0.0119641648091296,0.0166795202710194,"Not significant"
"ADAP2",5.60124375667456,0.0922928645471766,0.12217087082591,0.755440833999546,0.450205803719401,0.48865071906897,"Not significant"
"ADAR",10.2138743735025,-0.344345776089595,0.0710942074682587,-4.84351381571184,1.53027426391843e-06,3.35802872867275e-06,"Not significant"
"ADARB1",3.22845521077431,-1.39032321159405,0.0789421412031924,-17.6119267909828,5.79491453475659e-59,4.27365329313626e-57,"Down"
"ADARB2",2.42037010354489,0.0286774773091478,0.0439750372185524,0.652130825191188,0.514503149280872,0.552300302869152,"Not significant"
"ADAT1",4.19540242226559,-0.544021744480012,0.0669205687659022,-8.12936522376369,1.62684615087008e-15,6.69417487431405e-15,"Not significant"
"ADAT3",3.12826545151496,0.117088463125439,0.0465304703430513,2.51638253948844,0.0120502586055805,0.0167895589821422,"Not significant"
"ADC",3.20582854054738,0.174028359693549,0.0551977230405235,3.15281772702447,0.00167705085899928,0.00263449852769605,"Not significant"
"ADCK1",2.9307976046409,-0.0857731995837101,0.0452661611289574,-1.89486356793883,0.0584689795669352,0.0736854077497064,"Not significant"
"ADCK2",2.82443823511845,-0.545213342466606,0.0464398817976417,-11.7401966017556,1.73292780227547e-29,1.59404873743063e-28,"Not significant"
