"lambda","ll","cvm","cvsd","cvup","cvlo","nzero"
0.000666541547567348,-7.31340808335312,0.0491935036807745,0.020223977796221,0.0694174814769955,0.0289695258845534,17
0.000607327833546948,-7.40644182448419,0.0492070950052292,0.0204570416304653,0.0696641366356945,0.0287500533747638,18
0.000553374502680286,-7.49947556561527,0.0494786286216576,0.0208848773525215,0.0703635059741791,0.0285937512691361,18
0.000504214237026208,-7.59250930674634,0.049836316016008,0.0213451980158943,0.0711815140319024,0.0284911180001137,18
0.000459421233881468,-7.68554304787741,0.050149874415415,0.021759289056258,0.071909163471673,0.0283905853591571,18
0.000418607517681417,-7.77857678900848,0.0505116084017991,0.0221941557932406,0.0727057641950397,0.0283174526085586,18
0.000381419579541263,-7.87161053013956,0.0509316076808416,0.0226327664387796,0.0735643741196212,0.028298841242062,18
0.000347535315331229,-7.96464427127063,0.0513764742572227,0.0230698082519952,0.0744462825092178,0.0283066660052275,19
0.000316661235764668,-8.0576780124017,0.0518660918100494,0.0235201864718591,0.0753862782819085,0.0283459053381903,20
0.000288529924334272,-8.15071175353278,0.0523806999775711,0.0239614471483762,0.0763421471259473,0.0284192528291949,20
0.000262897721078208,-8.24374549466385,0.0528770507649584,0.0243966177370388,0.0772736685019972,0.0284804330279195,20
0.000239542612114102,-8.33677923579492,0.0534022925842372,0.024840768165239,0.0782430607494762,0.0285615244189982,20
0.000218262306660988,-8.42981297692599,0.0539146873554429,0.0252762233269377,0.0791909106823806,0.0286384640285052,20
0.00019887248489335,-8.52284671805706,0.0544283782338653,0.0256900310472246,0.0801184092810899,0.0287383471866406,19
0.000181205201450961,-8.61588045918814,0.0549349158008089,0.026080764110132,0.0810156799109409,0.0288541516906769,19
0.00016510743077652,-8.70891420031921,0.0554846799382425,0.0264953447876078,0.0819800247258504,0.0289893351506347,19
0.000150439741681481,-8.80194794145028,0.0560503432953717,0.0269250009858258,0.0829753442811976,0.0291253423095459,20
0.000137075089659801,-8.89498168258135,0.0566289686484971,0.0273451738035269,0.0839741424520241,0.0292837948449702,21
0.000124897716489202,-8.98801542371243,0.0570682378086678,0.0276455951201678,0.0847138329288356,0.0294226426884999,21
0.000113802147588832,-9.0810491648435,0.0574592016759064,0.0278952197118862,0.0853544213877926,0.0295639819640203,21
0.000103692278448902,-9.17408290597457,0.0578267504797427,0.0281382265444908,0.0859649770242336,0.0296885239352519,21
9.44805422193964e-05,-9.26711664710565,0.0582550937514503,0.0283838148611625,0.0866389086126128,0.0298712788902878,21
8.6087151247911e-05,-9.36015038823672,0.0586754403285363,0.0286432941584325,0.0873187344869688,0.0300321461701038,21
7.84394059971776e-05,-9.45318412936779,0.0590971582388897,0.0289123629659501,0.0880095212048397,0.0301847952729396,21
7.14710653564502e-05,-9.54621787049886,0.0595074775637701,0.0291665928382622,0.0886740704020324,0.0303408847255079,21
6.51217728926934e-05,-9.63925161162994,0.0598972493617982,0.0294158505227883,0.0893130998845865,0.03048139883901,21
