"Gene","Step","Coefficient","StepIndex","Lambda","LogLambda"
"STK16","s51",0,51,0.00153979742537472,-6.47610441317347
"STK16","s52",0,52,0.00140300606596397,-6.56913815430454
"STK16","s53",0,53,0.00127836687391048,-6.66217189543561
"STK16","s54",0,54,0.00116480028415901,-6.75520563656669
"STK16","s55",0,55,0.00106132263723843,-6.84823937769776
"STK16","s56",0,56,0.000967037659273928,-6.94127311882883
"STK16","s57",0,57,0.000881128698891504,-7.0343068599599
"STK16","s58",0,58,0.000802851653774438,-7.12734060109098
"STK16","s59",0,59,0.000731528525604995,-7.22037434222205
"STK16","s60",0,60,0.000666541547567348,-7.31340808335312
"STK16","s61",0,61,0.000607327833546948,-7.40644182448419
"STK16","s62",0,62,0.000553374502680286,-7.49947556561527
"STK16","s63",0,63,0.000504214237026208,-7.59250930674634
"STK16","s64",0,64,0.000459421233881468,-7.68554304787741
"STK16","s65",0,65,0.000418607517681417,-7.77857678900848
"STK16","s66",0,66,0.000381419579541263,-7.87161053013956
"STK16","s67",0,67,0.000347535315331229,-7.96464427127063
"STK16","s68",0,68,0.000316661235764668,-8.0576780124017
"STK16","s69",0,69,0.000288529924334272,-8.15071175353278
"STK16","s70",0,70,0.000262897721078208,-8.24374549466385
"STK16","s71",0,71,0.000239542612114102,-8.33677923579492
"STK16","s72",0,72,0.000218262306660988,-8.42981297692599
"STK16","s73",0,73,0.00019887248489335,-8.52284671805706
"STK16","s74",0,74,0.000181205201450961,-8.61588045918814
"STK16","s75",0,75,0.00016510743077652,-8.70891420031921
"STK16","s76",0,76,0.000150439741681481,-8.80194794145028
"STK16","s77",0,77,0.000137075089659801,-8.89498168258135
"STK16","s78",0,78,0.000124897716489202,-8.98801542371243
"STK16","s79",0,79,0.000113802147588832,-9.0810491648435
"STK16","s80",0,80,0.000103692278448902,-9.17408290597457
"STK16","s81",0,81,9.44805422193964e-05,-9.26711664710565
"STK16","s82",0,82,8.6087151247911e-05,-9.36015038823672
"STK16","s83",0,83,7.84394059971776e-05,-9.45318412936779
"STK16","s84",0,84,7.14710653564502e-05,-9.54621787049886
"STK16","s85",0,85,6.51217728926934e-05,-9.63925161162994
"STK16","s86",0,86,5.93365340720335e-05,-9.73228535276101
"STK16","s87",0,87,5.40652399234147e-05,-9.82531909389208
"STOM","s0",0,0,0.177039286132001,-1.73138361548877
"STOM","s1",0,1,0.161311603892753,-1.82441735661984
"STOM","s2",0,2,0.146981125596331,-1.91745109775091
