"Sample","ME","Group"
"GSM1692097",0.0318415756152504,"Disease"
"GSM1692098",-0.00959439924248094,"Disease"
"GSM1692099",0.0101473563493342,"Disease"
"GSM1692100",0.00641490652728987,"Disease"
"GSM1692101",-0.0170877862246774,"Disease"
"GSM1692102",-0.0296703943532701,"Disease"
"GSM1692103",0.0744075514409564,"Disease"
"GSM1692104",-0.0311441936352482,"Disease"
"GSM1692105",-0.0330967816798302,"Disease"
"GSM1692106",-0.023019864675143,"Disease"
"GSM1692107",0.00723604971775103,"Disease"
"GSM1692108",-0.00826909896097302,"Disease"
"GSM1692109",-0.0512858391306299,"Disease"
"GSM1692110",-0.00500219778336121,"Disease"
"GSM1692111",-0.0257909924637858,"Disease"
"GSM1692112",0.0412827789266085,"Disease"
"GSM1692114",0.0238233913312486,"Disease"
"GSM1692115",-0.00264018319790915,"Disease"
"GSM1692116",-0.00878658823154195,"Disease"
"GSM1692117",0.0828544166578507,"Disease"
"GSM1692118",0.0135026308623434,"Disease"
"GSM1692119",0.0285506326950995,"Disease"
"GSM1692120",-0.0182504883113815,"Disease"
"GSM1692121",0.015446299816431,"Disease"
"GSM1692122",0.00602911451615852,"Disease"
"GSM1692123",-0.00804968925287664,"Disease"
"GSM1692124",0.00247341613051421,"Disease"
"GSM1692125",0.00160081372985017,"Disease"
"GSM1692126",0.0620689114360944,"Disease"
"GSM1692127",-0.00137460468744811,"Disease"
"GSM1692128",-0.0519040405059444,"Disease"
"GSM1692129",0.0579135898240956,"Disease"
"GSM1692130",-0.00511559937765913,"Disease"
"GSM1692131",-0.0372870472572433,"Disease"
"GSM1692132",0.050430649073406,"Disease"
"GSM1692133",-0.00575173422205732,"Disease"
"GSM1692135",0.0237557955580981,"Disease"
"GSM1692136",-0.0455527904860172,"Disease"
"GSM1692137",0.0870318695640042,"Disease"
"GSM1692138",0.0520726913452801,"Disease"
"GSM1692139",0.0232729648965355,"Disease"
"GSM1692140",0.0423309991174074,"Disease"
"GSM1692141",0.0711821881741105,"Disease"
"GSM1692142",-0.0345496424848704,"Disease"
"GSM1692143",0.0306541840232654,"Disease"
"GSM1692144",0.00503086073098028,"Disease"
"GSM1692145",0.00528441920576198,"Disease"
"GSM1692146",0.0960454479400711,"Disease"
"GSM1692147",0.0158353957817869,"Disease"
"GSM1692148",0.0217742196293493,"Disease"
