"gene","HC1","HC2","NSES","P50","S2","S3"
"TMEM234",4.22742789384803,4.22742789384803,5.25966149830981,5.09970920054362,4.9770888836488,4.22742789384803
"EIF3I",6.23259847825732,6.61246178641685,7.22163129280011,5.09970920054362,6.12489709155534,6.38328187344124
"LCK",6.55487062077416,7.13956474962307,4.22742789384803,6.03134333562224,4.22742789384803,4.22742789384803
"HDAC1",5.45376148785481,6.50231620993424,5.68264611380475,4.22742789384803,4.22742789384803,4.22742789384803
"MARCKSL1",7.60288636799342,7.40744261377575,5.68264611380475,5.09970920054362,5.83348774422402,5.9517357601784
"BSDC1",5.9692199427275,6.11015747676198,6.39220151235508,5.63945629658092,6.75594514893013,5.9517357601784
"ZBTB8OS",5.9692199427275,6.38306105974853,5.85521045547623,6.33920071562365,6.12489709155534,5.9517357601784
"RBBP4",6.23259847825732,6.25305255567801,6.14854751394828,6.33920071562365,4.9770888836488,4.22742789384803
"SYNC",4.22742789384803,5.04948116299568,4.99023772891781,4.22742789384803,4.9770888836488,4.22742789384803
"YARS",5.81698738387323,4.69623031625439,5.25966149830981,6.03134333562224,4.9770888836488,5.9517357601784
"S100PBP",4.22742789384803,4.22742789384803,4.99023772891781,4.22742789384803,4.9770888836488,5.9517357601784
"RNF19B",6.23259847825732,5.77329786295453,5.68264611380475,5.63945629658092,5.83348774422402,4.22742789384803
"AK2",4.96715343895881,5.04948116299568,4.22742789384803,5.09970920054362,6.12489709155534,4.22742789384803
"ZNF362",5.23087700832804,4.69623031625439,4.22742789384803,4.22742789384803,4.22742789384803,4.22742789384803
"PHC2",5.81698738387323,5.77329786295453,8.63389461722929,6.99590584220857,6.12489709155534,5.3331782699928
"SMIM12",4.96715343895881,4.69623031625439,4.6586722164309,5.63945629658092,6.12489709155534,5.3331782699928
"ZMYM6",5.45376148785481,4.22742789384803,4.6586722164309,5.09970920054362,4.9770888836488,5.3331782699928
"SFPQ",8.67140593196306,8.0792874425618,8.19391694112419,7.4455196820593,8.22659350590177,7.87371481860354
"ZMYM4",4.96715343895881,4.22742789384803,4.99023772891781,5.09970920054362,4.22742789384803,5.3331782699928
"KIAA0319L",4.96715343895881,4.69623031625439,4.99023772891781,4.22742789384803,4.22742789384803,4.22742789384803
"AC004865.2",4.64419098111034,4.69623031625439,4.22742789384803,4.22742789384803,4.22742789384803,4.22742789384803
"PSMB2",5.64677549933564,6.25305255567801,5.85521045547623,6.03134333562224,6.12489709155534,5.3331782699928
"AGO4",5.23087700832804,5.56989199982261,4.6586722164309,6.03134333562224,5.467922580958,4.22742789384803
"AGO1",5.45376148785481,5.56989199982261,6.00932155005559,5.63945629658092,6.36722099727102,6.38328187344124
"AGO3",6.23259847825732,5.95153722397477,4.6586722164309,6.80837686950916,5.467922580958,5.3331782699928
"ADPRHL2",5.23087700832804,5.04948116299568,4.6586722164309,4.22742789384803,4.9770888836488,5.3331782699928
"TRAPPC3",5.64677549933564,4.69623031625439,5.68264611380475,5.63945629658092,5.467922580958,4.22742789384803
"MAP7D1",5.9692199427275,5.95153722397477,6.39220151235508,6.59277782143442,5.83348774422402,5.3331782699928
