system,replicate,metric,block_start_ns,block_end_ns,n,mean,sd,median,q25,q75,min,max,last
complex,2,protein_rg_nm,20.0,40.0,2000,1.75769391,0.010829193207467596,1.75869,1.75231,1.76469,1.71614,1.78681,1.75124
complex,2,protein_rg_nm,40.0,60.0,2000,1.75296589,0.011766821386877397,1.753195,1.7445925,1.761125,1.72026,1.78611,1.7464
complex,2,protein_rg_nm,60.0,80.0,2000,1.74023224,0.008487663241201785,1.74019,1.73449,1.74584,1.71384,1.77465,1.73894
complex,2,protein_rg_nm,80.0,100.0,2001,1.7325923738130935,0.015178367666260885,1.73192,1.72069,1.7432,1.69611,1.7854,1.75296
complex,2,protein_sasa_nm2,20.0,40.0,200,111.262655,2.418005063769943,111.12950000000001,109.70750000000001,112.95949999999999,104.469,118.32,114.317
complex,2,protein_sasa_nm2,40.0,60.0,200,111.572925,2.11357075967562,111.38900000000001,110.14325,113.01050000000001,106.382,117.343,112.664
complex,2,protein_sasa_nm2,60.0,80.0,200,110.56624500000002,2.0458179342442415,110.403,109.23400000000001,111.82875,106.018,116.952,116.269
complex,2,protein_sasa_nm2,80.0,100.0,201,111.12561691542287,2.534083498528104,111.373,109.728,112.909,104.894,117.629,116.436
complex,2,interchain_hbonds_pbc_nojump_count,20.0,40.0,200,3.465,1.7244254742030467,4.0,2.0,5.0,0.0,8.0,2.0
complex,2,interchain_hbonds_pbc_nojump_count,40.0,60.0,200,3.17,1.537177469540951,3.0,2.0,4.0,1.0,7.0,2.0
complex,2,interchain_hbonds_pbc_nojump_count,60.0,80.0,200,3.375,1.346641084719784,3.0,2.0,4.0,1.0,7.0,6.0
complex,2,interchain_hbonds_pbc_nojump_count,80.0,100.0,201,4.009950248756219,1.4628398741873416,4.0,3.0,5.0,0.0,7.0,4.0
complex,2,ligand_rmsd_unwrapped_after_proteinfit_nm,20.0,40.0,2000,0.53714131145,0.07693086281194712,0.53661875,0.487619025,0.58021195,0.3153429,0.8928159,0.6033167
complex,2,ligand_rmsd_unwrapped_after_proteinfit_nm,40.0,60.0,2000,0.5712076065000001,0.0766529364505338,0.57236115,0.52718945,0.61557545,0.345376,0.8954185,0.5822145
complex,2,ligand_rmsd_unwrapped_after_proteinfit_nm,60.0,80.0,2000,0.62282021285,0.09960827665959433,0.5972578,0.56232805,0.6488837249999999,0.4190091,1.0461653,0.7753968
complex,2,ligand_rmsd_unwrapped_after_proteinfit_nm,80.0,100.0,2001,0.5397229864567715,0.0888747536947436,0.5173291,0.47768,0.5724432,0.3799754,0.9066414,0.4923081
complex,2,ligand_original_pocket_com_displacement_unwrapped_nm,20.0,40.0,2000,0.4326145,0.05267161511924268,0.4255,0.398,0.455,0.318,0.676,0.412
complex,2,ligand_original_pocket_com_displacement_unwrapped_nm,40.0,60.0,2000,0.4492945,0.06700185366052923,0.448,0.417,0.484,0.222,0.678,0.495
complex,2,ligand_original_pocket_com_displacement_unwrapped_nm,60.0,80.0,2000,0.48193100000000005,0.07588788259242829,0.465,0.435,0.50325,0.33,0.839,0.491
complex,2,ligand_original_pocket_com_displacement_unwrapped_nm,80.0,100.0,2001,0.38493653173413295,0.10424718926553904,0.35,0.303,0.458,0.198,0.756,0.274
complex,2,ligand_protein_min_distance_pbc_nojump_nm,20.0,40.0,2000,0.20905820475,0.011524085405063347,0.21024635,0.20252175,0.216688675,0.1491575,0.2419794,0.2061021
complex,2,ligand_protein_min_distance_pbc_nojump_nm,40.0,60.0,2000,0.2078656242,0.012810270878624552,0.209207,0.201179075,0.21624252500000002,0.1567479,0.2553841,0.2155295
complex,2,ligand_protein_min_distance_pbc_nojump_nm,60.0,80.0,2000,0.2106996808,0.011807383147049221,0.2110061,0.203785975,0.21817684999999998,0.1549873,0.2539783,0.2116743
complex,2,ligand_protein_min_distance_pbc_nojump_nm,80.0,100.0,2001,0.190563004047976,0.018796319927449325,0.1880901,0.1760596,0.2050365,0.1457774,0.2462721,0.187243
complex,2,ligand_protein_contacts_pbc_nojump_0p45nm_count,20.0,40.0,2000,516.87,63.25171531069235,523.0,476.75,563.0,291.0,695.0,567.0
complex,2,ligand_protein_contacts_pbc_nojump_0p45nm_count,40.0,60.0,2000,504.5835,61.376677785931186,508.0,467.0,546.0,252.0,678.0,465.0
complex,2,ligand_protein_contacts_pbc_nojump_0p45nm_count,60.0,80.0,2000,469.815,63.866550267895015,477.0,429.0,514.0,212.0,651.0,360.0
complex,2,ligand_protein_contacts_pbc_nojump_0p45nm_count,80.0,100.0,2001,431.11644177911046,53.39930649861226,437.0,400.0,468.0,239.0,557.0,501.0
complex,2,ligand_protein_hbonds_pbc_nojump_count,20.0,40.0,200,0.255,0.5490741407681676,0.0,0.0,0.0,0.0,3.0,0.0
complex,2,ligand_protein_hbonds_pbc_nojump_count,40.0,60.0,200,0.2,0.42532872300500163,0.0,0.0,0.0,0.0,2.0,1.0
complex,2,ligand_protein_hbonds_pbc_nojump_count,60.0,80.0,200,0.16,0.4304957992429533,0.0,0.0,0.0,0.0,3.0,0.0
complex,2,ligand_protein_hbonds_pbc_nojump_count,80.0,100.0,201,1.2338308457711442,0.905565983925954,1.0,0.0,2.0,0.0,3.0,2.0
complex,3,whole_backbone_rmsd_nm,20.0,40.0,2000,0.3320598011,0.03985615614683357,0.34126055,0.31114235,0.3606435,0.2030219,0.4216756,0.3496622
complex,3,whole_backbone_rmsd_nm,40.0,60.0,2000,0.38061105799999995,0.034964811461537106,0.3879768,0.368241975,0.402998725,0.2626964,0.4558446,0.3564069
complex,3,whole_backbone_rmsd_nm,60.0,80.0,2000,0.4005372573,0.04344092841620927,0.39733359999999995,0.368217025,0.43645895,0.2609127,0.4995105,0.3671626
complex,3,whole_backbone_rmsd_nm,80.0,100.0,2001,0.393697412093953,0.02038328255172026,0.3933107,0.3796107,0.4071933,0.3349915,0.4623294,0.421555
complex,3,chain_B_backbone_rmsd_nm,20.0,40.0,2000,0.3408021273,0.0760315168962055,0.36421784999999995,0.31805170000000005,0.39135627500000003,0.1137171,0.4776167,0.4110327
complex,3,chain_B_backbone_rmsd_nm,40.0,60.0,2000,0.4296802518,0.05312676514425345,0.44292665,0.40930585,0.465225325,0.2402851,0.5347419,0.4012164
complex,3,chain_B_backbone_rmsd_nm,60.0,80.0,2000,0.4524109412,0.060857048193842564,0.4478761,0.40920175000000003,0.49986115000000003,0.2372663,0.5961949,0.387798
complex,3,chain_B_backbone_rmsd_nm,80.0,100.0,2001,0.4138356042478761,0.029265166192942713,0.4145449,0.3969377,0.4308279,0.3093698,0.5146375,0.481225
complex,3,chain_D_backbone_rmsd_nm,20.0,40.0,2000,0.2419589715,0.02405585257217139,0.2406409,0.22402260000000002,0.25925719999999997,0.1826612,0.3104336,0.227681
complex,3,chain_D_backbone_rmsd_nm,40.0,60.0,2000,0.22874464060000002,0.021569259304494996,0.22589399999999998,0.21337852499999999,0.24085859999999998,0.1773591,0.3054223,0.238345
complex,3,chain_D_backbone_rmsd_nm,60.0,80.0,2000,0.24263366985,0.019649895648648556,0.24162329999999999,0.2296976,0.255116675,0.187188,0.3004978,0.2461097
complex,3,chain_D_backbone_rmsd_nm,80.0,100.0,2001,0.2623557456271864,0.019970951819643003,0.2643411,0.248,0.2770389,0.2053636,0.3270736,0.2193391
complex,3,chain_B_D_com_distance_pbc_nojump_nm,20.0,40.0,2000,1.739582,0.043103053402355415,1.732,1.708,1.769,1.64,1.893,1.779
complex,3,chain_B_D_com_distance_pbc_nojump_nm,40.0,60.0,2000,1.7088800000000002,0.031498343969745754,1.71,1.687,1.73,1.611,1.815,1.726
complex,3,chain_B_D_com_distance_pbc_nojump_nm,60.0,80.0,2000,1.7170595,0.03809152716774408,1.719,1.689,1.743,1.607,1.827,1.661
complex,3,chain_B_D_com_distance_pbc_nojump_nm,80.0,100.0,2001,1.6343953023488254,0.02452725337091454,1.635,1.617,1.651,1.559,1.733,1.641
complex,3,protein_rg_nm,20.0,40.0,2000,1.763147115,0.012397760235470076,1.763125,1.7553125,1.771125,1.72268,1.81186,1.77334
complex,3,protein_rg_nm,40.0,60.0,2000,1.7555723600000002,0.014206668900591211,1.7567300000000001,1.7467074999999999,1.7655975,1.7096,1.79703,1.72574
complex,3,protein_rg_nm,60.0,80.0,2000,1.7575513999999999,0.0144150581785557,1.75922,1.74941,1.7677275,1.71259,1.80581,1.75669
complex,3,protein_rg_nm,80.0,100.0,2001,1.749368015992004,0.00976169836205484,1.74953,1.7431,1.75604,1.71925,1.7896,1.7896
complex,3,protein_sasa_nm2,20.0,40.0,200,110.28390999999999,3.0069423010609215,110.4345,108.01325,112.6125,101.617,117.643,109.352
complex,3,protein_sasa_nm2,40.0,60.0,200,109.91753,1.8939817776234935,110.128,108.63825,111.35,104.129,114.47,109.265
complex,3,protein_sasa_nm2,60.0,80.0,200,111.498385,2.3802991465169976,111.4605,109.76675,112.83,105.057,119.001,111.125
complex,3,protein_sasa_nm2,80.0,100.0,201,108.83660696517413,1.807545210984014,108.864,107.678,110.143,103.264,113.941,111.939
complex,3,interchain_hbonds_pbc_nojump_count,20.0,40.0,200,4.69,1.5216692764640658,5.0,4.0,6.0,1.0,10.0,5.0
complex,3,interchain_hbonds_pbc_nojump_count,40.0,60.0,200,5.91,2.134168073707919,6.0,4.75,7.0,0.0,10.0,5.0
complex,3,interchain_hbonds_pbc_nojump_count,60.0,80.0,200,8.32,1.6188587083460804,8.0,7.0,10.0,4.0,12.0,10.0
complex,3,interchain_hbonds_pbc_nojump_count,80.0,100.0,201,10.850746268656716,1.9918865279675213,11.0,10.0,12.0,4.0,16.0,12.0
complex,3,ligand_rmsd_unwrapped_after_proteinfit_nm,20.0,40.0,2000,3.8309517486999995,1.6802288748551575,3.47539505,2.52121315,5.409461,1.317085,7.8350878,5.500865
complex,3,ligand_rmsd_unwrapped_after_proteinfit_nm,40.0,60.0,2000,7.0600412101,1.1200702491053975,6.9660072500000005,6.01534655,8.186265025,5.0894647,9.2381525,6.9607716
complex,3,ligand_rmsd_unwrapped_after_proteinfit_nm,60.0,80.0,2000,6.134589222549999,0.5096282672036061,6.0400779,5.66376745,6.5260048,5.3464546,7.5522194,6.3136902
complex,3,ligand_rmsd_unwrapped_after_proteinfit_nm,80.0,100.0,2001,7.711939770814592,1.9691451233290518,6.8839579,6.1133294,9.714673,5.3732924,11.4227371,11.1782446
complex,3,ligand_original_pocket_com_displacement_unwrapped_nm,20.0,40.0,2000,3.8516954999999995,1.7265763782047514,3.5035,2.5225,5.5175,1.183,7.806,5.659
complex,3,ligand_original_pocket_com_displacement_unwrapped_nm,40.0,60.0,2000,7.1336505,1.0656962003993082,7.069,6.115,8.19925,5.221,9.162,7.071
complex,3,ligand_original_pocket_com_displacement_unwrapped_nm,60.0,80.0,2000,6.306960999999999,0.48717621946622836,6.2085,5.861,6.69125,5.528,7.637,6.474
complex,3,ligand_original_pocket_com_displacement_unwrapped_nm,80.0,100.0,2001,7.689724137931034,1.793910448116647,6.92,6.234,9.489,5.615,11.106,10.89
complex,3,ligand_protein_min_distance_pbc_nojump_nm,20.0,40.0,2000,0.5277388363,0.560513462444617,0.23086099999999998,0.21400285,0.586897075,0.1458943,2.458811,0.2168134
complex,3,ligand_protein_min_distance_pbc_nojump_nm,40.0,60.0,2000,0.19855121435,0.022807196971860344,0.2006845,0.180521325,0.21562725,0.1408382,0.2722098,0.2296578
complex,3,ligand_protein_min_distance_pbc_nojump_nm,60.0,80.0,2000,0.1904512377,0.022178859321483144,0.18942335,0.17161157500000002,0.209836325,0.1427505,0.2560311,0.1548741
complex,3,ligand_protein_min_distance_pbc_nojump_nm,80.0,100.0,2001,0.18863076406796603,0.022896143654463155,0.1861832,0.1687592,0.2082987,0.1394981,0.2505921,0.1578224
complex,3,ligand_protein_contacts_pbc_nojump_0p45nm_count,20.0,40.0,2000,133.6015,103.17915325579722,151.0,0.0,217.0,0.0,451.0,273.0
