"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0.00246694805080215,0.337563649676182,0.059,0.164,1,"0","RNF213"
0.00252776160255953,1.89251895063593,0.218,0.121,1,"0","CD82"
0.00263994897774922,1.95112481493038,0.255,0.159,1,"0","FPR1"
0.00267004169351104,2.96548954736415,0.165,0.079,1,"0","RAB18"
0.00272041711785914,1.88796067102702,0.213,0.117,1,"0","TLR2"
0.00283615704657476,1.85282395716338,0.372,0.318,1,"0","TXN"
0.00298287499447668,1.8091555938434,0.213,0.117,1,"0","AQP9"
0.00303503283477215,0.443413881151893,0.793,0.869,1,"0","VIM"
0.00333851988076363,1.01057427078338,0.303,0.196,1,"0","PPP1R18"
0.00352524851900354,0.348557997366618,0.053,0.15,1,"0","CCNK"
0.00354432864093179,2.09898450380346,0.213,0.121,1,"0","PHC2"
0.00358059944091379,0.279380310123735,0.053,0.15,1,"0","SEMA4D"
0.00358671755829458,0.268327413646577,0.069,0.178,1,"0","DYNC1H1"
0.0036803632585175,1.23630898871335,0.489,0.444,1,"0","PLEK"
0.0039354058841445,0.271538149066649,0.186,0.369,1,"0","EIF5"
0.00430076277566391,0.78390184876109,0.622,0.692,1,"0","CYBA"
0.00463573868638638,2.08257208315009,0.255,0.173,1,"0","ADGRE5"
0.00510102604581667,0.25714940228033,0.144,0.294,1,"0","GYPC"
0.00527902730698533,1.36841299738841,0.367,0.304,1,"0","PLP2"
0.00533881051603571,1.68722470256871,0.271,0.182,1,"0","MAP2K3"
0.00543778277040954,0.355522337631316,0.085,0.196,1,"0","RTF1"
0.00555173937018888,2.09133216284122,0.202,0.117,1,"0","AGTPBP1"
0.00625760108715162,0.327172246562923,0.064,0.159,1,"0","HIST1H1C"
0.00661989922391107,2.17615576035065,0.207,0.126,1,"0","PLCG2"
0.00700386523356433,1.82534667219887,0.287,0.215,1,"0","R3HDM4"
0.00711951859104453,0.529581301763977,0.702,0.836,1,"0","SERF2"
0.00718509741069442,1.5594173594986,0.245,0.159,1,"0","CKLF"
0.00730630415366436,1.50501831262196,0.309,0.229,1,"0","NCF1"
0.00748496654015427,2.0307257091943,0.34,0.285,1,"0","GADD45B"
0.00794502188014654,0.381893272794413,0.128,0.257,1,"0","TGOLN2"
0.00904453572241026,0.520242316302684,0.074,0.173,1,"0","BRAF"
0.00956241176845965,1.21184940969063,0.367,0.313,1,"0","ARRB2"
0.00957321435295564,0.280177165142403,0.064,0.154,1,"0","ATG12"
9.35123931201445e-42,2.89552408572863,0.933,0.396,1.93533248801451e-37,"1","LYZ"
1.59008452798707e-34,2.1186497266069,0.983,0.59,3.29083893912205e-30,"1","S100A4"
6.36614708696318e-34,3.43379484645203,0.765,0.226,1.3175378011179e-29,"1","CST3"
2.44031740239675e-33,2.75676870665212,0.832,0.311,5.05048089600032e-29,"1","CTSS"
3.16678888426656e-31,3.08696966801948,0.773,0.265,6.55398627487807e-27,"1","CEBPD"
3.97941537644143e-23,1.05792552022218,0.992,0.954,8.23579806308318e-19,"1","FTL"
1.02163984486871e-22,2.93747820724816,0.664,0.237,2.11438582294027e-18,"1","ATP2B1-AS1"
2.06741787254712e-22,1.69801931413503,0.874,0.523,4.27872802902352e-18,"1","FOS"
2.24066845671738e-22,2.89006206416315,0.63,0.205,4.63728743802229e-18,"1","MAFB"
4.63965427379573e-22,4.2728732267196,0.471,0.081,9.60222848504764e-18,"1","VCAN"
8.71726003849888e-21,1.04793969528566,0.983,0.965,1.80412413756773e-16,"1","FTH1"
1.75763513836245e-19,2.29805046064959,0.689,0.283,3.63760168235492e-15,"1","S100A10"
8.70815377301986e-19,1.15349504915126,0.966,0.767,1.80223950486419e-14,"1","MT-CO2"
1.42601298810088e-17,1.27336705013448,0.933,0.809,2.95127648017357e-13,"1","SRGN"
2.94580689471284e-17,2.095501826929,0.706,0.375,6.09664194929769e-13,"1","AIF1"
6.89767949586452e-17,3.02699954565163,0.513,0.159,1.42754374846412e-12,"1","SGK1"
9.37483759042367e-17,1.28799164770039,0.966,0.813,1.94021638771408e-12,"1","MT-CO1"
1.30031110450835e-16,1.34661814757736,0.849,0.463,2.69112386189048e-12,"1","RPL7"
7.35486971005067e-16,1.58219712512776,0.731,0.406,1.52216383519209e-11,"1","DUSP1"
8.70594722408167e-16,1.07087869916137,0.874,0.615,1.80178283749594e-11,"1","NEAT1"
1.52747649716599e-13,0.980271616380992,0.983,0.848,3.16126535853474e-09,"1","S100A6"
3.53114493167946e-13,1.6727128165448,0.58,0.223,7.3080575506038e-09,"1","HLA-DRA"
3.58775757609036e-13,1.93092335006982,0.605,0.318,7.42522307947661e-09,"1","PSAP"
4.9937184791436e-13,1.10629125498885,0.908,0.742,1.03349997644356e-08,"1","MT-CYB"
1.0986016738682e-12,2.45154459879801,0.529,0.244,2.27366602423763e-08,"1","RGS2"
1.71140530963748e-12,2.62828919775821,0.479,0.191,3.54192442882572e-08,"1","CSTA"
1.82103475656094e-12,2.06991823073578,0.546,0.269,3.76881353217851e-08,"1","RAC1"
2.21583691616786e-12,1.10949793205675,0.815,0.558,4.585896081701e-08,"1","PFDN5"
2.93913266831675e-12,0.951315639128389,0.899,0.703,6.08282897034835e-08,"1","MT-ND2"
9.43692156934437e-12,0.865697440225912,0.941,0.625,1.95306528799151e-07,"1","RPS24"
1.15285267634217e-11,0.92104830823616,0.899,0.505,2.38594389895776e-07,"1","PTMA"
1.82692846549719e-11,2.63494492355827,0.445,0.184,3.78101115219298e-07,"1","GSTP1"
2.05525127336887e-11,0.814401343187811,0.941,0.721,4.25354803536421e-07,"1","TMSB10"
2.17762259246445e-11,1.93392215657351,0.529,0.254,4.50680771736443e-07,"1","CLEC7A"
2.37327705082773e-11,2.34780250939215,0.437,0.17,4.91173418439308e-07,"1","DUSP6"
3.06727175224952e-11,1.85051133937463,0.504,0.212,6.3480256184556e-07,"1","C5AR1"
9.80998051905516e-11,2.71110963890184,0.42,0.17,2.03027356822366e-06,"1","NPC2"
9.92195041466818e-11,1.14971865275739,0.731,0.445,2.05344685781973e-06,"1","LGALS1"
3.99672690090269e-10,2.29160250805552,0.479,0.23,8.27162599410822e-06,"1","FCN1"
9.00544474347139e-10,2.6538128230672,0.37,0.134,1.86376684410884e-05,"1","AC020656.1"
1.13242478634722e-09,1.54389985309198,0.622,0.385,2.34366633782422e-05,"1","G0S2"
2.47008473356608e-09,0.675290822881513,0.908,0.749,5.11208736458836e-05,"1","ATP5F1E"
2.56298258131918e-09,4.00203419915086,0.277,0.074,5.30434875029818e-05,"1","CFD"
2.57366819502461e-09,3.78359520920743,0.235,0.046,5.32646369642293e-05,"1","RBP7"
2.6666713917257e-09,0.703078723656778,0.941,0.749,5.51894311231551e-05,"1","FAU"
2.96589479818493e-09,1.79973795836571,0.479,0.23,6.13821587432353e-05,"1","LGALS3"
3.37943663648321e-09,0.648199971098533,0.966,0.784,6.99408206286565e-05,"1","RPL39"
4.04578807204022e-09,1.16687210217659,0.655,0.413,8.37316299389443e-05,"1","IRF2BP2"
9.6645573626454e-09,0.624584211832103,0.899,0.519,0.000200017679177309,"1","RPS13"
1.08481454325652e-08,1.26205530404262,0.655,0.481,0.00022451321787237,"1","EMP3"
2.20562183544699e-08,3.61855757258445,0.227,0.049,0.000456475495064109,"1","CYP1B1"
2.49461626949614e-08,1.41432259581575,0.454,0.205,0.000516285783134922,"1","PLAUR"
2.8911672236202e-08,2.76523359363817,0.311,0.11,0.000598355968600436,"1","CD14"
4.78742087233068e-08,0.74706548236592,0.908,0.657,0.000990804623737558,"1","UBA52"
1.42045992862471e-07,0.8351793084704,0.672,0.41,0.0029397838682817,"1","RPL23"
2.31730993982384e-07,3.89617736145551,0.176,0.032,0.00479590465145941,"1","ZNF385A"
4.47037734186749e-07,3.37354878546456,0.193,0.042,0.00925189294672895,"1","CXCL2"
4.69895873224722e-07,0.967509981713557,0.647,0.459,0.00972496499225884,"1","LST1"
4.76840223495347e-07,0.77111517989992,0.647,0.442,0.0098686852654597,"1","ZFP36L1"
5.8621499214614e-07,0.560094403665567,0.941,0.675,0.0121323054774565,"1","RPS28"
8.18568137589377e-07,1.1299888771657,0.647,0.47,0.0169410861755497,"1","PABPC1"
1.09983902107501e-06,0.555796275081473,0.95,0.742,0.0227622683801684,"1","RPLP1"
1.39830184810262e-06,1.23039072055582,0.496,0.279,0.0289392550483318,"1","ZEB2"
1.56453419916119e-06,3.37629757941204,0.202,0.053,0.0323795997858401,"1","CD300E"
2.23582441114779e-06,2.99833287278604,0.244,0.085,0.0462726220131146,"1","FCGRT"
2.35280213892274e-06,0.73989350601527,0.798,0.555,0.0486935930671451,"1","NACA"
2.38292396219988e-06,0.408739500884744,0.941,0.714,0.0493169943216887,"1","RPL34"
2.46830999830829e-06,0.449002873568824,0.975,0.795,0.0510841437249884,"1","RPL41"
2.78125786288344e-06,2.53890569993443,0.303,0.134,0.0575609127302357,"1","RAP2B"
3.52084818328334e-06,1.32771960248419,0.504,0.314,0.0728674740012319,"1","ATP2B1"
3.82030477529813e-06,1.60936562712501,0.479,0.322,0.0790650276295702,"1","ATP5MC2"
4.20196196510921e-06,0.44420837282311,0.908,0.548,0.0869638048299002,"1","RPL26"
4.47276820736559e-06,3.3467299552684,0.168,0.039,0.0925684108196383,"1","TNFSF13B"
4.74625449115128e-06,2.89548346788145,0.277,0.12,0.0982284829488668,"1","GPR183"
5.67008708092606e-06,2.8899793482303,0.185,0.049,0.117348122226846,"1","TMEM170B"
5.79662080396074e-06,4.81921903585512,0.151,0.032,0.119966864158772,"1","RHOU"
5.92558313748018e-06,0.405756334110236,0.95,0.834,0.12263586861329,"1","SH3BGRL3"
6.19797491167701e-06,0.513130567318745,0.924,0.852,0.128273288772067,"1","H3F3B"
6.24351491051454e-06,0.301806418734281,0.891,0.746,0.129215784588009,"1","SAT1"
7.63534162914594e-06,3.55239952220118,0.151,0.032,0.158021030356804,"1","EREG"
7.93584385493052e-06,0.659231010416433,0.815,0.717,0.164240224421642,"1","TYROBP"
8.01056541420325e-06,1.78022061402913,0.361,0.187,0.16578666181235,"1","C4orf48"
8.1302053048329e-06,0.484337555589185,0.891,0.611,0.168262728988822,"1","RPL35A"
1.32809599404229e-05,1.33480799571001,0.496,0.353,0.274862746926992,"1","PTP4A2"
1.37224120470441e-05,2.82907863862928,0.185,0.053,0.283999039725625,"1","CTSZ"
1.61334476141852e-05,2.90724208405968,0.227,0.085,0.333897831823177,"1","CTSB"
1.88157944710513e-05,0.399362705467329,0.975,0.756,0.389411682372878,"1","RPL28"
2.12640346840963e-05,0.290904928556798,0.916,0.654,0.440080461822058,"1","RPL30"
2.45516508960052e-05,2.15647794414204,0.277,0.124,0.508120966943725,"1","PLSCR1"
2.59844836076591e-05,0.378830630653877,0.975,0.83,0.537774872744113,"1","MT-CO3"
2.61156034945093e-05,2.69248238735345,0.202,0.067,0.540488529922365,"1","CCR1"
3.46399584802756e-05,2.12852165332836,0.176,0.053,0.716908580707785,"1","THBS1"
